"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",61148,67203099,67264247,1043497.7424819999,2931747.406848,3975245.14933,6411354,26140.75
"BANKNIFTY",25300,1974997,2000297,456550.03113300004,232751.86841700002,689301.89955,952277,59990.85
"HDFCBANK",63647,239000,302647,334503.646565,17045.79657,351549.443135,586720,950.25
"ICICIBANK",31388,155041,186429,313143.25882,20988.73665,334131.99547,244749,1425.6
"RELIANCE",28973,253159,282132,219503.0234,24119.9318,243622.9552,445200,1505.1
"TITAN",27571,314999,342570,206569.53415,35442.2273275,242011.7614775,109795,4273.9
"MARUTI",20288,353293,373581,171436.03025,29312.584865,200748.615115,114196,16806
"IEX",23545,140604,164149,135068.24025,35603.363625,170671.603875,62360,153.55
"TATAELXSI",21559,272684,294243,124001.98667,39186.76649,163188.75316,39729,5851
"SBIN",19017,153702,172719,144384.4845,12582.732,156967.2165,186566,1006.9
"NATIONALUM",10309,61617,71926,136035.612,19672.593,155708.205,37821,352.9
"DIXON",22084,166910,188994,130169.23663,23608.604215,153777.840845,156899,11780
"MIDCPNIFTY",5718,311689,317407,96616.736472,44877.16854,141493.905012,142459,14053.4
"MCX",8002,66523,74525,115113.53625,21376.13875,136489.675,48955,2307
"INFY",18498,111931,130429,121303.3452,11694.02384,132997.36904,269720,1640
"JIOFIN",17264,73710,90974,123636.628085,9323.59163,132960.219715,109029,303.7
"SUNPHARMA",16877,122748,139625,105254.1511,9762.15247,115016.30357,82038,1783.4
"CIPLA",18107,160611,178718,100921.127175,12973.54245,113894.669625,63926,1465.3
"TCS",17616,133631,151247,101124.0768825,9768.7586675,110892.83555,219548,3294
"ETERNAL",14710,54384,69094,100919.4288025,7474.4729825,108393.901785,152146,280.5
"HINDALCO",15032,71669,86701,99604.0514,7646.22117,107250.27257,126375,937.85
"INDUSINDBK",15567,35460,51027,98605.71721,4892.11464,103497.83185,98151,898.5
"KOTAKBANK",11010,46694,57704,94296.94884,5569.82716,99866.776,130952,2146
"BHEL",10836,65121,75957,86456.1403125,12304.1690625,98760.309375,53019,303.4
"BSE",8119,54293,62412,83832.9469875,14153.0301375,97985.977125,62578,2745.5
"GLENMARK",11056,59125,70181,88286.6380875,9445.5100125,97732.1481,43062,2111
"ITC",15593,218835,234428,85656.03296,11520.32976,97176.36272,471029,341.75
"HINDZINC",10927,55041,65968,85667.8420675,11451.4868125,97119.32888,83118,628.65
"CANBK",8807,27890,36697,91602.524025,5426.938575,97029.4626,46733,152.9
"KALYANKJIL",13321,92756,106077,81588.449385,13404.9615325,94993.4109175,45553,519.5
"DMART",14348,105411,119759,81986.137785,11984.16984,93970.307625,60985,3842.6
"HCLTECH",15153,72422,87575,86686.066775,6875.46461,93561.531385,84459,1654.5
"VEDL",11772,51838,63610,84476.01161,7414.70849,91890.7201,134578,622
"TATATECH",14322,106316,120638,77954.25768,12359.66776,90313.92544,31972,683.35
"AXISBANK",10078,56175,66253,81460.97025,5522.6191875,86983.5894375,186106,1294.8
"COFORGE",11436,59264,70700,72625.84065,8764.559625,81390.400275,86085,1702.5
"APOLLOHOSP",7089,88124,95213,66000.7222875,10441.7423125,76442.4646,43544,7457
"YESBANK",9764,35717,45481,71071.20347,4738.97446,75810.17793,55076,23.46
"TRENT",16071,159447,175518,65172.09572,10217.75837,75389.85409,188762,4062
"BHARTIARTL",7156,43833,50989,71138.82701,3878.7441225,75017.5711325,135103,2084
"LUPIN",7082,49316,56398,66510.4554525,8185.9808025,74696.436255,27216,2215
"INDHOTEL",9951,32505,42456,70947.6796,3552.2275,74499.9071,45365,714
"KAYNES",15958,113484,129442,60798.50016,12822.76512,73621.26528,90422,3834
"NMDC",11555,48447,60002,67087.664775,6454.39185,73542.056625,78118,86.15
"INDIGO",8746,75375,84121,65432.460855,7855.242795,73287.70365,113076,4959.5
"POLYCAB",6747,29550,36297,66868.9201,5859.44945,72728.36955,35918,7897
"MANAPPURAM",6857,27183,34040,65095.3371,5850.4926,70945.8297,24460,320.5
"TATASTEEL",6217,40758,46975,63347.67505,6481.60315,69829.2782,87597,183.55
"RECLTD",10978,45269,56247,59121.99762,4667.92984,63789.92746,111018,385
"AUROPHARMA",8283,42803,51086,57213.078615,6374.42696,63587.505575,55896,1234
"LT",8151,40166,48317,59110.5908575,3055.95927,62166.5501275,110362,4150.1
"TMPV",19816,95016,114832,57556.21664,3946.37088,61502.58752,199566,363
"WIPRO",7131,31018,38149,57268.086,4233.1503,61501.2363,54592,270.35
"IDFCFIRSTB",7339,17100,24439,58166.3622225,2321.831155,60488.1933775,54565,84.2
"BAJFINANCE",7695,37751,45446,56207.47365,3900.63675,60108.1104,197304,969.7
"VBL",9809,33823,43632,56045.45475,3895.7238,59941.17855,61967,510.3
"LAURUSLABS",5740,20758,26498,55445.826315,4267.074885,59712.9012,32831,1127.7
"BAJAJ-AUTO",6975,72209,79184,50982.1127775,7040.0415825,58022.15436,84720,9807
"PERSISTENT",7364,60846,68210,47573.53508,9507.77043,57081.30551,34532,6521.5
"BDL",9398,40851,50249,50899.76353,6116.5552,57016.31873,32918,1540
"BANKBARODA",5430,44239,49669,49007.7464175,6350.3665875,55358.113005,56109,308.35
"JUBLFOOD",7706,20166,27872,52198.459375,2353.263125,54551.7225,37455,536
"IDEA",6149,18327,24476,50938.2097575,3537.12621,54475.3359675,157673,11.46
"HINDUNILVR",7128,33302,40430,51443.56692,2445.74244,53889.30936,77688,2390
"TORNTPHARM",4823,22602,27425,48661.854425,3619.572275,52281.4267,12702,4068.9
"FEDERALBNK",3849,14262,18111,49544.7105,2597.127,52141.8375,22510,258.55
"M&M",6277,40489,46766,47314.09476,3773.81946,51087.91422,117499,3755
"UPL",4383,14561,18944,47881.243946999995,2897.512217,50778.756164,44622,804.5
"TECHM",4779,16219,20998,46719.77448,2896.23174,49616.00622,44517,1630
"BEL",7461,57767,65228,44205.030735,5294.53848,49499.569215,141854,415.6
"SYNGENE",6751,31170,37921,44986.8941,4335.2272,49322.1213,16807,658.95
"COALINDIA",7495,53947,61442,43490.93985,5481.682965,48972.622815,95958,431.4
"LTF",6425,17993,24418,45432.0045,2759.145525,48191.150025,35500,313.5
"HEROMOTOCO",4712,44198,48910,42520.49511,5398.7859,47919.28101,63975,5972.5
"JSWSTEEL",5514,15724,21238,44173.73475,1918.05651,46091.79126,100154,1188.6
"SOLARINDS",5883,56599,62482,39000.63588,6778.535295,45779.171175,36321,13328
"SHRIRAMFIN",5175,19339,24514,42754.45515,2970.4785,45724.93365,89759,996
"PNB",4206,14657,18863,42520.2664,2401.5344,44921.8008,48450,125.3
"BIOCON",4248,19983,24231,41589.653,3309.1325,44898.7855,30862,387
"ASTRAL",6507,16649,23156,41490.8904975,2531.4537225,44022.34422,26928,1504
"DLF",7055,27670,34725,40882.00743,2814.8024025,43696.8098325,92400,703.15
"DELHIVERY",4628,15306,19934,40560.63754,2707.789095,43268.426635,15987,421.15
"ABCAPITAL",3662,12917,16579,41015.97104,2194.23952,43210.21056,37220,361.5
"ADANIENT",5610,26416,32026,39476.8832742,3458.1118545,42934.9951287,110809,2271.9
"GODREJCP",6382,16223,22605,40072.48875,1887.87375,41960.3625,24904,1247.9
"MUTHOOTFIN",3381,23511,26892,36955.6663575,4716.4016075,41672.067965,26455,3957
