Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,105126,103286684,103391810,1751442.427761,172598127222661.4,6346962.919375,4595520.491614,9081460,25471.1
BANKNIFTY,28296,3127216,3155512,513658.709274,5694627578911.5,814961.158389,301302.449115,1116402,60186.65
INFY,104674,1070114,1174788,559686.4136,604712651068.0,671726.28428,112039.87068,451497,1369.0
TCS,90440,781214,871654,421803.1055,382088844627.0,490714.23177,68911.12627,444731,2695.0
HDFCBANK,83552,374928,458480,422446.751045,193354074969.0,441639.625735,19192.87469,724134,903.9
MUTHOOTFIN,34855,284595,319450,348562.457925,304789090661.0,402862.352035,54299.89411,79402,3587.0
BAJFINANCE,36077,247826,283903,274813.1682,191729417595.0,300742.49415,25929.32595,169394,1030.0
SBIN,24725,339900,364625,221081.68245,306721989532.5,259272.152775,38190.470325,314424,1196.3
RELIANCE,28331,349058,377389,202850.88335,254137872885.0,223720.7622,20869.87885,414465,1418.6
HAL,26271,278238,304509,165202.42884,181985021352.0,198596.51736,33394.08852,182610,4206.0
COFORGE,34530,137704,172234,176785.91715,74726415135.0,194309.2185,17523.30135,98072,1358.9
HINDALCO,27349,149650,176999,175286.86966,99340323145.0,192628.93111,17342.06145,113506,905.75
MIDCPNIFTY,7027,444753,451780,115364.746764,737284014986.4,171414.32662799998,56049.579864,148795,13628.35
ICICIBANK,15960,118206,134166,158995.14771,118604576363.0,168337.76134,9342.61363,265416,1415.5
MCX,9723,60948,70671,142901.487375,93655102793.75,165075.2653125,22173.7779375,69031,2338.8
BSE,11602,98393,109995,133094.3012625,115101234847.5,153582.3372375,20488.035975,76663,3023.9
TECHM,14792,96551,111343,135021.048,90682752864.0,150164.69664,15143.64864,63103,1534.0
VEDL,16817,104814,121631,130333.84884,84433289811.5,145798.209455,15464.360615,148402,673.9
HCLTECH,26058,142051,168109,131235.03512,74415223396.5,144328.689085,13093.653965,116999,1458.0
WIPRO,20367,111903,132270,130279.0569,74470837680.0,143362.6287,13083.5718,124255,214.38
PERSISTENT,23049,148586,171635,124093.82778,83148608544.0,140573.91322,16480.08544,63192,5473.0
HINDUNILVR,18293,160904,179197,128728.4754,116455057581.0,138751.67121,10023.19581,109708,2305.0
PIIND,21864,90047,111911,119652.86333,50799458746.75,129244.5457975,9591.6824675,34716,3167.8
ETERNAL,15651,121067,136718,109941.5918325,87286692254.75,123600.82313,13659.2312975,160633,285.2
BHARATFORG,11402,107105,118507,100220.73835,95971868610.0,118335.22445,18114.4861,35712,1735.1
EICHERMOT,11578,235549,247127,93127.64731,192966799698.0,117624.54429,24496.89698,94858,8067.0
BHEL,15628,77355,92983,106206.4311,54740038421.25,113476.2496875,7269.8185875,94741,255.3
TATASTEEL,8451,68181,76632,95407.14645,78192146340.0,107015.76985,11608.6234,85294,202.98
AXISBANK,11814,89321,101135,98237.4525,75289651687.5,105268.281875,7030.829375,173748,1330.8
ONGC,15565,115150,130715,94189.7763,71720477640.0,102445.7427,8255.9664,114902,267.5
PAYTM,11505,52936,64441,93588.5348675,45059604883.75,101303.833705,7715.2988375,53102,1122.9
ADANIENT,13715,65273,78988,91534.5112353,44551500206.88,99476.0965041,7941.5852687999995,116679,2127.0
ASHOKLEY,8728,57117,65845,90163.208,60774272000.0,98900.528,8737.32,65850,204.7
BEL,13391,128885,142276,84164.26998,83264223321.75,96025.8119475,11861.5419675,180881,435.0
LT,11502,96907,108409,83879.5099975,71156504987.75,89538.519875,5659.0098775,178126,4172.0
KOTAKBANK,10097,31841,41938,85520.2908,27406922320.0,88328.744,2808.4532,138718,421.9
NATIONALUM,5700,34699,40399,75715.252125,48710069662.5,83859.57375,8144.321625,40844,349.65
HINDZINC,9476,91504,100980,69403.1988125,71472427787.25,82866.426685,13463.2278725,117749,593.1
