"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",56819,248375438,248432257,1077902.4785685001,4335808.5690975,5413711.047666,8275735,26177.15
"AXISBANK",76552,60668,137220,591003.2920625,2269.308375,593272.6004375,197467,1224.5
"HDFCBANK",93031,150236,243267,510883.054275,5545.78585,516428.840125,536204,997
"BANKNIFTY",12569,2953242,2965811,255334.976154,210162.22740099998,465497.203555,1367554,59299.55
"RELIANCE",56072,186249,242321,442990.8806,9031.0755,452021.9561,346012,1569
"CHOLAFIN",37336,339402,376738,393056.2015,47325.2744375,440381.4759375,81941,1678.4
"ICICIBANK",38536,71885,110421,368637.39472,4237.06339,372874.45811,267059,1362.4
"INFY",45719,221045,266764,304816.44968,9774.15676,314590.60644,366199,1664.6
"ITC",44666,94677,139343,290613.04416,4048.8696,294661.91376,171142,408.85
"BAJFINANCE",34811,62892,97703,265016.294925,3969.05745,268985.352375,186779,1011.5
"SHRIRAMFIN",31385,193555,224940,246223.807005,19267.472895,265491.2799,141983,957.5
"BHARTIARTL",25056,110011,135067,253902.364935,5989.93905,259892.303985,160136,2123
"DIXON",33375,533601,566976,213292.191755,45450.213745,258742.4055,201724,12855
"M&M",34817,58707,93524,252777.43232,3244.2053,256021.63762,142237,3622
"ETERNAL",34762,38979,73741,241601.75866,2629.8545425,244231.6132025,183072,284.25
"HINDALCO",38454,54573,93027,233636.65108,4118.96842,237755.6195,153676,863.85
"MCX",15458,186293,201751,209570.821425,25285.502025,234856.32345,73961,10812
"COFORGE",32951,165789,198740,220512.877125,13128.115425,233640.99255,77777,1778
"LT",30922,53088,84010,221580.7014225,2641.3075325,224222.008955,132983,4070
"SBIN",28664,112105,140769,210347.770125,4538.7651,214886.535225,209415,971.25
"MARUTI",23972,129545,153517,199875.25849,5488.31414,205363.57263,129111,16561
"IDEA",21110,50742,71852,182576.5619625,13559.4722175,196136.03418,156295,12.02
"BSE",16469,132699,149168,170326.6278,18136.28175,188462.90955,90911,2734
"INDIGO",22688,124612,147300,175866.7782,5565.965745,181432.743945,239642,5152
"KOTAKBANK",20241,39146,59387,175963.2848,2109.00788,178072.29268,144459,2161.3
"AMBUJACEM",27434,103943,131377,159320.624505,7093.811025,166414.43553,82767,546.75
"MARICO",18598,13354,31952,164019.258,703.8444,164723.1024,35774,735.6
"BEL",27491,107065,134556,157551.3694125,5338.80525,162890.1746625,173579,399.25
"AUROPHARMA",23964,16986,40950,160994.71388,1153.259635,162147.973515,58222,1216.6
"TCS",26561,109888,136449,154028.6878375,3812.33363,157841.0214675,248393,3305.1
"NMDC",26269,135868,162137,144166.86045,10862.57655,155029.437,83523,81.55
"ASHOKLEY",16279,38510,54789,143208.0645,3288.9715,146497.036,68368,178.1
"ULTRACEMCO",23159,198892,222051,135840.658665,7324.495005,143165.15367,97419,11682
"JSWSTEEL",18886,27566,46452,140645.8366875,1543.78413,142189.6208175,120337,1095.9
"TATASTEEL",14218,46628,60846,133931.7331,4305.93955,138237.67265,95406,170.82
"GLENMARK",16599,83642,100241,128493.408225,7477.0592625,135970.4674875,58731,2046.5
"BAJAJ-AUTO",19262,58858,78120,132142.959975,2413.24683,134556.206805,88599,9085
"MIDCPNIFTY",5062,422357,427419,96248.72467200001,34298.296252,130547.020924,170298,13946.35
"RECLTD",25723,156040,181763,120289.3500375,7780.34218,128069.6922175,133294,354
"INDUSTOWER",17666,32328,49994,124925.68116,2759.05376,127684.73492,75815,413.2
"GRASIM",17440,19710,37150,123993.7261,1155.302175,125149.028275,83521,2823.1
"PFC",24753,118799,143552,113328.2501,6274.74055,119602.99065,121117,355.4
"UPL",10487,35214,45701,111609.22657950001,4820.3914975,116429.618077,43104,780.7
"HEROMOTOCO",13104,61955,75059,113055.61443,3308.662065,116364.276495,87220,5730.5
"HINDUNILVR",16526,49460,65986,113994.25269,2095.68975,116089.94244,76568,2298.1
"TMPV",36581,213634,250215,106540.056,5808.86232,112348.91832,253416,362.6
"TECHM",11119,16809,27928,109698.32748,1282.46694,110980.79442,60351,1631.5
"ADANIENT",15369,42727,58096,107636.4586551,2676.8596458,110313.3183009,153499,2246.7
"ADANIPORTS",14948,30578,45526,107190.79786,1690.1400125,108880.9378725,83538,1492.8
"TRENT",24351,122392,146743,102634.98362,5547.75261,108182.73623,171843,4183
"TITAN",15072,50226,65298,104234.68867,1944.7888075,106179.4774775,94630,3916.6
"COALINDIA",17300,182083,199383,93357.175185,9660.44205,103017.617235,84658,400.65
"HAL",14500,107082,121582,96462.14205,6157.08009,102619.22214,150315,4409.8
"HINDZINC",11650,142745,154395,87427.687725,14035.968905,101463.65663,104756,610.2
"TVSMOTOR",15411,22215,37626,99890.4024475,1155.5839575,101045.986405,66573,3685.2
"KFINTECH",18204,92723,110927,92496.82085,6752.00336,99248.82421,19627,1098.5
"HCLTECH",16315,46780,63095,95631.31361,2147.5629,97778.87651,85283,1674.8
"VEDL",13568,62173,75741,91863.029595,4864.93447,96727.964065,188402,586.75
"GMRAIRPORT",11887,56884,68771,86200.6107375,4754.5038675,90955.114605,60014,104.85
"ABCAPITAL",8229,13003,21232,88721.33784,1381.67465,90103.01249,42056,346.8
"ADANIGREEN",14372,20831,35203,88297.79754,1143.1227,89440.92024,73227,1017
"RVNL",15678,162163,177841,76542.745325,11988.4770725,88531.2223975,60462,342.6
"JIOFIN",11706,25848,37554,82640.32936,2935.043075,85575.372435,117318,298.5
"SAIL",12666,27546,40212,79140.9077,2491.45731,81632.36501,57841,133
"MPHASIS",9708,27594,37302,78251.68824,2415.201635,80666.889875,32322,2934
"BRITANNIA",10423,16891,27314,79177.8941625,818.8902875,79996.78445,36882,6060
"INDUSINDBK",12957,24695,37652,77466.1153,1352.56128,78818.67658,99159,846.4
"INDHOTEL",10411,9788,20199,77009.9308,720.4886,77730.4194,42588,738.55
"POWERGRID",14905,28494,43399,76236.98453,1485.1825,77722.16703,74357,266.65
"DMART",13309,18853,32162,76678.89558,816.383085,77495.278665,63273,3832.9
"DLF",12983,29964,42947,74692.36467,1961.2644975,76653.6291675,105008,693.7
"PATANJALI",15093,17179,32272,75009.60864,1068.24879,76077.85743,58733,548.75
"NAUKRI",14561,10048,24609,74555.6052375,462.3590625,75017.9643,36778,1365.9
"DRREDDY",9226,7648,16874,74289.5114375,378.5309375,74668.042375,38687,1282.5
"EICHERMOT",7176,40269,47445,71042.1852,3254.8644325,74297.0496325,50368,7290
"ADANIENSOL",10835,10061,20896,73486.8447975,572.61843,74059.4632275,36840,995
"WIPRO",8831,35812,44643,71917.9938,2126.781,74044.7748,75080,271.3
"POLYCAB",7490,32903,40393,71793.490925,2203.1756125,73996.6665375,35272,7638
"ASIANPAINT",10089,50027,60116,70774.16935,2071.9571,72846.12645,107657,2808
"ONGC",13304,39404,52708,71044.2423,1479.295575,72523.537875,85925,235.4
"IDFCFIRSTB",8995,14988,23983,71272.4158125,1140.6552675,72413.07108,63721,84.9
"LTIM",7622,21623,29245,70842.69015,1337.91252,72180.60267,27962,6209
"DIVISLAB",10867,33572,44439,70734.81097,1385.24428,72120.05525,54762,6480
"JSWENERGY",14500,19459,33959,69980.2478,1037.6562,71017.904,71154,484.5
"UNITDSPR",11851,23483,35334,68486.31184,1315.62976,69801.9416,51236,1437.6
"KALYANKJIL",11820,11712,23532,68124.42777,588.08797,68712.51574,43430,489.15
"CANBK",6409,26680,33089,65143.577025,2650.9869,67794.563925,54026,150.18
