symbol,futVolume,optVolume,totVolume,futTurnover,optTurnover,totTurnover,preTurnover,latestOI,underlying
NIFTY,279271,403721820,404001091,4576734.924489,659977746072947.9,13654083.683968,9077348.759479001,9256872,25175.4
BANKNIFTY,78277,76278789,76357066,1384994.2116720001,134715936307798.2,2991503.439654,1606509.2279820002,1797707,59205.45
RELIANCE,146452,307858,454310,1016264.41485,222071322155.0,1050377.8864,34113.47155,529687,1384.0
HDFCBANK,187809,249010,436819,950850.79947,129201040391.5,969339.310885,18488.511415,723409,928.0
AXISBANK,110600,512940,623540,910131.7339375,426233978850.0,947753.6474375,37621.9135,247037,1322.0
ICICIBANK,78691,151885,230576,744680.89192,146902716632.0,759390.36824,14709.47632,287423,1367.1
ITC,128298,145110,273408,659843.87472,79469655968.0,679539.8344,19695.95968,388719,319.8
MIDCPNIFTY,20551,9525010,9545561,322669.47726,14966059596816.0,611704.75542,289035.27816,298620,13137.9
INFY,78074,130434,208508,525985.23616,88149532068.0,532425.51684,6440.28068,280373,1687.4
BHARTIARTL,53835,43056,96891,507628.1965475,41722194762.5,511714.8091725,4086.612625,165478,1981.0
IDEA,70423,39625,110048,497910.217125,31479679929.0,511650.742665,13740.52554,161720,9.89
MCX,28220,157142,185362,421510.0194375,241718138206.25,455528.9015,34018.8820625,53635,2440.0
ETERNAL,67814,136485,204299,420015.3342725,89241109413.25,436744.620905,16729.2866325,216716,255.0
SBIN,53264,162191,215455,417704.750625,128042377995.0,432974.980575,15270.22995,213924,1053.0
KOTAKBANK,51576,67267,118843,420967.8634,56814760500.0,429934.4784,8966.615,140717,411.9
BAJFINANCE,60286,67989,128275,417121.5114,49669963035.0,428710.56675,11589.05535,198808,917.95
ADANIENT,64257,193490,257747,386769.36772529996,122884970974.89,418541.16753269994,31771.7998074,133964,1963.0
M&M,53866,118529,172395,367834.81192,83374074514.0,382206.15706,14371.34514,126962,3392.9
VEDL,43277,123530,166807,348990.77209,100507752175.5,370271.411345,21280.639255,142466,706.95
HINDZINC,36728,200291,237019,323412.9997,179665241775.25,368614.9299525,45201.9302525,92603,726.5
TCS,64817,100729,165546,358275.1282075,56828713812.5,365070.5663325,6795.438125,228998,3167.0
LT,52870,59498,112368,349690.8103325,40831466677.75,356302.84711,6612.0367775,154134,3804.5
INDUSINDBK,53149,90675,143824,329328.608,57716135491.0,339129.60291,9800.99491,84721,893.0
ASIANPAINT,47404,217466,264870,313587.7535,147546106257.5,335922.566075,22334.812575,95156,2628.0
BSE,30556,69286,99842,314231.8291875,73162289306.25,326597.03475,12365.2055625,54503,2766.3
JIOFIN,51892,49145,101037,309314.49415,32089685878.0,319215.93668,9901.44253,145821,257.15
INDIGO,43705,69989,113694,310462.71891,51604649850.0,317722.79241,7260.0735,114959,4764.0
TATASTEEL,28638,59106,87744,301203.9723,63068486250.0,312425.9523,11221.98,88037,193.1
HAL,46686,84393,131079,302362.797945,57358759551.0,312236.068455,9873.27051,115548,4370.0
HINDALCO,44126,54860,98986,296980.29935,37448644359.0,303167.27294,6186.97359,101704,964.0
BEL,49605,80251,129856,293705.4340125,48718057035.0,302846.5268625,9141.09285,141823,417.7
DIXON,55838,180790,236628,283383.15396,99037964944.0,301059.1784,17676.02444,148405,10239.0
UPL,29958,28240,58198,291051.563439,28185965874.65,296381.8736855,5330.3102465,46597,717.0
SHRIRAMFIN,32371,63017,95388,266448.036195,52884262109.25,274978.2547875,8530.2185925,79841,1001.7
ONGC,48611,57336,105947,270614.64555,32396478165.0,274143.6747,3529.02915,112136,248.2
JSWSTEEL,31909,62144,94053,260715.10689,51154224347.25,268270.3553625,7555.2484725,96942,1223.2
PNB,24936,28680,53616,242244.944,29006881360.0,246805.9976,4561.0536,57216,123.4
APLAPOLLO,33006,38509,71515,238983.956505,28317102971.5,243060.43622,4076.479715,38789,2069.2
MARUTI,30091,239709,269800,229165.70355,185949600211.0,241839.05566,12673.35211,125737,15237.0
ULTRACEMCO,36435,113062,149497,231475.03201,73039035356.5,239604.735575,8129.703565,86164,12590.0
SAMMAANCAP,39901,5219,45120,237523.70229,3352025096.0,238109.82325,586.12096,31605,139.2
DLF,46407,54637,101044,230264.7978675,28723836966.0,237758.8675275,7494.06966,123916,610.8
INDUSTOWER,32764,21119,53883,232600.69426,15393343532.0,235082.48958,2481.79532,80297,424.0
ADANIPORTS,34538,87577,122115,222437.13174,57592742572.5,232365.862465,9928.730725,90142,1365.0
ADANIGREEN,43337,119760,163097,207366.2817,61052709126.0,225075.13296,17708.85126,72013,798.0
LAURUSLABS,25128,48236,73364,216296.625555,43026956080.5,222665.57636,6368.950805,47698,998.9
TRENT,56592,77456,134048,213425.14646,31170114551.0,220137.19197,6712.04551,168343,3815.9
