Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-11,383.3937269700527,387.15058167052183,364.26794558701084,368.0736083984375,8076824,0.0,0.0
2016-02-12,379.9784487435813,386.36998915419895,369.927669480625,381.6373291015625,28434501,0.0,0.0
2016-02-15,386.0772134773501,409.8380694096805,386.0772134773501,407.544921875,13964589,0.0,0.0
2016-02-16,410.6187023581973,412.27758264977115,395.20099638617114,395.98162841796875,12445006,0.0,0.0
2016-02-17,397.0550317951826,397.0550317951826,385.1990075011464,393.34698486328125,10197761,0.0,0.0
2016-02-18,400.2752132219022,402.1292367211793,382.1252347054321,388.4191589355469,12069460,0.0,0.0
2016-02-19,386.02844983148776,387.29698437339135,380.5639360755872,383.0034484863281,12915275,0.0,0.0
2016-02-22,385.44297976972314,389.1022485650053,381.5885380603436,387.54095458984375,10284642,0.0,0.0
2016-02-23,388.2727813493537,388.2727813493537,373.97724487236934,375.8312683105469,9955791,0.0,0.0
2016-02-24,375.6848802900326,381.5397095932539,368.1223924400384,377.2949523925781,11983475,0.0,0.0
2016-02-25,376.75832266535235,378.4171733251694,368.3176152320786,369.0494689941406,9491615,0.0,0.0
2016-02-26,375.6849156278039,380.8566700871022,372.90386549134155,377.00225830078125,9588881,0.0,0.0
2016-02-29,377.6365279694517,382.1740151791352,364.95106320562,366.6587219238281,82022905,0.0,0.0
2016-03-01,370.90351989147564,383.6865724996635,370.90351989147564,382.5155944824219,12822550,0.0,0.0
2016-03-02,390.3219898614948,401.83647665072704,390.3219898614948,397.3965759277344,15332044,0.0,0.0
2016-03-03,401.397350344904,408.86225185126443,397.25017953257014,407.0570068359375,14677533,0.0,0.0
2016-03-04,408.0328389544168,408.0328389544168,399.3481807473943,405.983642578125,8992492,0.0,0.0
2016-03-08,405.5445442321101,412.8142732610224,398.90905268730523,401.7876892089844,6921273,0.0,0.0
2016-03-09,399.1042376788163,408.0816554258163,397.64053020566655,406.7643127441406,8437253,0.0,0.0
2016-03-10,407.39859943528444,409.8381120067532,400.66555069387186,403.0074768066406,5631550,0.0,0.0
2016-03-11,403.8368994799486,411.74092582372066,398.3723856015874,402.8122863769531,8348484,0.0,0.0
2016-03-14,407.49619879901593,412.0336863698047,403.10507603130935,405.3982238769531,6963673,0.0,0.0
2016-03-15,407.39853879929126,411.5457095535355,406.03241791843936,408.71588134765625,8188560,0.0,0.0
2016-03-16,408.8622385081663,416.03441022303997,401.0557995867693,414.3267517089844,8290044,0.0,0.0
2016-03-17,419.5961080625211,424.47513257487606,415.2049860014017,417.7908630371094,11080947,0.0,0.0
2016-03-18,419.5473588558128,427.01226092212005,418.71791867528873,425.5485534667969,6675930,0.0,0.0
2016-03-21,428.37840320771676,434.7211358292433,427.30501173130955,433.7453308105469,8910574,0.0,0.0
2016-03-22,436.1848226833614,436.77031162266985,423.7920876216154,430.5739440917969,8004834,0.0,0.0
2016-03-23,428.62233154296877,430.5739414760045,424.5727468877605,426.9146728515625,5018310,0.0,0.0
2016-03-28,427.25617204377465,427.98802570271255,409.6428761178154,412.6678771972656,9200929,0.0,0.0
2016-03-29,413.64371289501844,422.4259574566078,412.1800054680869,419.0594482421875,6674980,0.0,0.0
2016-03-30,422.8162965790259,434.91630245935954,421.64534844103605,433.5013732910156,9551121,0.0,0.0
2016-03-31,432.9646532138414,438.1364073578318,427.597726174937,433.40374755859375,12671936,0.0,0.0
2016-04-01,430.2324037397003,441.06384482282743,429.4029635624006,439.0146484375,8827751,0.0,0.0
2016-04-04,440.57597230136093,440.6247506413175,431.4034109490454,433.9892883300781,5347581,0.0,0.0
2016-04-05,432.6719528839461,438.6243696402446,420.5719762290221,422.1332702636719,12100258,0.0,0.0
2016-04-06,422.8162558369697,425.74367056867044,412.86306361670853,414.37554931640625,7457831,0.0,0.0
2016-04-07,417.40057036363663,421.35256852787023,414.6195202803,416.3271789550781,5374072,0.0,0.0
2016-04-08,416.3759331013386,417.0102002853469,409.88680715491495,411.3993225097656,6881318,0.0,0.0
2016-04-11,413.64369690717416,421.45013621574725,407.3985514161563,419.40093994140625,6221772,0.0,0.0
2016-04-12,420.0840305632798,425.89008192177084,419.010639163491,423.5481262207031,5586212,0.0,0.0
2016-04-13,429.4030083759596,434.5259849843226,427.5002063603778,429.8421325683594,9091282,0.0,0.0
2016-04-18,434.18444326553436,435.25780493377437,426.8170977056378,434.4771728515625,6674315,0.0,0.0
2016-04-20,435.3065712300543,449.50452059328893,433.59891265746995,447.9920349121094,10775664,0.0,0.0
2016-04-21,452.57834564463184,461.3118122784549,451.7977135588041,456.6279602050781,11717618,0.0,0.0
2016-04-22,454.33479124221896,466.92266915707035,450.91947391296134,464.3367919921875,7323373,0.0,0.0
2016-04-25,462.5315681586639,465.8005208514913,453.74932319362597,458.53076171875,7474910,0.0,0.0
2016-04-26,458.7259071426961,473.16780830815884,452.43195338320527,468.58154296875,12685893,0.0,0.0
2016-04-27,450.138820352695,462.0436528878873,446.96745420298936,454.2372131347656,29544825,0.0,0.0
2016-04-28,451.7976913048927,460.433571057814,450.3827622174183,456.7254943847656,16457436,0.0,0.0
2016-04-29,455.4569232815596,465.89804730703275,453.79804309011763,460.97021484375,10883473,0.0,0.0
2016-05-02,462.87308612651674,467.41057320913626,457.1158428507627,460.384765625,9439328,0.0,0.0
2016-05-03,462.4339303572055,463.5073216895902,455.0178072543317,459.16497802734375,8097969,0.0,0.0
2016-05-04,454.72508179924955,458.6283013855092,449.1142036440013,451.260986328125,8777977,0.0,0.0
2016-05-05,451.7976678890467,455.99361703983425,447.35776751369696,449.89483642578125,8736141,0.0,0.0
2016-05-06,449.84603215942235,452.8222250158251,447.89442247543354,450.28515625,4804806,0.0,0.0
2016-05-09,454.52996502966835,466.43479814934653,450.4803801647568,465.55657958984375,10228014,0.0,0.0
2016-05-10,467.41060660775753,477.16865685009066,466.581166381318,476.1440734863281,12131886,0.0,0.0
