Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-11,137.7046645402905,138.02767578255322,130.79392786845878,132.5194854736328,2650840,0.0,0.0
2016-02-12,132.85948442144317,134.9250522807781,127.16429019802564,133.73501586914062,5211483,0.0,0.0
2016-02-15,138.3846793148155,139.7532272365828,132.45148288205323,138.24867248535156,1713085,0.0,0.0
2016-02-16,139.40470188880983,143.13633662461888,136.9481261079093,137.56015014648438,1991110,0.0,0.0
2016-02-17,137.88315092148608,142.29480654257205,136.02159995164547,141.76779174804688,2015557,0.0,0.0
2016-02-18,142.8048150722388,144.13085824325668,140.33973311178053,141.9377899169922,1179151,0.0,0.0
2016-02-19,141.93783566371653,143.2808784557588,137.9172002284994,140.4587860107422,1655318,0.0,0.0
2016-02-22,142.3288132417766,144.33487740314612,138.9372019452627,143.05984497070312,1376138,0.0,0.0
2016-02-23,144.53888095260078,145.0658957292461,136.34460654060538,137.59414672851562,2754448,0.0,0.0
2016-02-24,136.17465252892674,139.82126602095138,135.4096222031353,138.563232421875,1674495,0.0,0.0
2016-02-25,139.73623477070475,139.73623477070475,133.0465008591414,135.3160858154297,4054700,0.0,0.0
2016-02-26,135.47762471727862,137.10118766498275,131.83950401274666,136.0216522216797,2486624,0.0,0.0
2016-02-29,136.59966436544795,138.19772185879307,131.43998921485763,136.94818115234375,3836247,0.0,0.0
2016-03-01,136.87163514262892,146.86797096745428,136.37011244205578,144.5218963623047,5025524,0.0,0.0
2016-03-02,145.03197178954665,150.0811460097514,145.03197178954665,147.49705505371094,3735745,0.0,0.0
2016-03-03,150.2765981210482,150.62511483710446,146.05195945149342,149.31607055664062,2736856,0.0,0.0
2016-03-04,149.28204318972874,155.58075511707497,147.5734849488477,154.87522888183594,2475457,0.0,0.0
2016-03-08,154.87525098917195,158.08836435307288,152.24865631134392,156.75381469726562,2656136,0.0,0.0
2016-03-09,154.53520405678285,159.63537286429525,152.58864404366741,159.16786193847656,2620841,0.0,0.0
2016-03-10,159.46542568253525,160.45145876604383,156.40531796026687,157.18734741210938,1963287,0.0,0.0
2016-03-11,157.93532656920414,159.99238802673614,156.40526655504027,157.5358123779297,1695750,0.0,0.0
2016-03-14,157.7653672324291,161.66699477887238,157.7653672324291,160.13694763183594,1587561,0.0,0.0
2016-03-15,160.3154346573477,161.2759755034287,156.575306357426,157.25534057617188,1087634,0.0,0.0
2016-03-16,157.416842201054,157.7908510437965,151.01612067998778,154.92625427246094,2872572,0.0,0.0
2016-03-17,156.15025939346464,157.37429404568317,153.92317952102374,155.0707244873047,2240332,0.0,0.0
2016-03-18,155.38525867680912,156.21828555950498,151.67063608523327,154.6967315673828,1779621,0.0,0.0
2016-03-21,154.53525054516936,159.12540518395474,153.35370684506105,158.36888122558594,1735135,0.0,0.0
2016-03-22,158.9553705144118,159.77139815045837,156.76230206645621,158.7088623046875,2122146,0.0,0.0
2016-03-23,157.25533901721442,159.12539649272742,153.00519507923073,154.1187286376953,1398143,0.0,0.0
2016-03-28,151.91713573837336,156.9833068215616,151.91713573837336,153.9741973876953,1523580,0.0,0.0
2016-03-29,154.62874994641848,159.80542321509876,154.0762296169325,156.94082641601562,1709010,0.0,0.0
2016-03-30,158.74288855941782,162.64452928331556,158.13937064890607,161.19947814941406,2979433,0.0,0.0
2016-03-31,160.99547682288346,164.05557105510655,160.0604413737949,162.04100036621094,4096518,0.0,0.0
2016-04-01,162.37249889151232,162.8230107150872,156.4052905446466,157.4933319091797,2158622,0.0,0.0
2016-04-04,157.26385116826629,157.73986851891053,155.06227591346885,156.97483825683594,1937598,0.0,0.0
2016-04-05,156.74533115049562,158.91290804576806,154.92627100384678,157.1363525390625,1651018,0.0,0.0
2016-04-06,157.8503333578302,158.78536864907056,154.10171256586284,157.4848175048828,1918267,0.0,0.0
2016-04-07,158.10533851150873,162.1854765371957,156.59229093226654,160.91043090820312,1901420,0.0,0.0
2016-04-08,162.0154830190261,162.84000362191782,158.53035627365944,160.8169403076172,1834714,0.0,0.0
2016-04-11,159.97541970161632,162.84852259552753,159.49940241779996,161.989990234375,822822,0.0,0.0
2016-04-12,160.14545999624855,167.2857075054277,159.8139557311678,164.29360961914062,1734499,0.0,0.0
2016-04-13,165.8491394198466,170.8388083939934,165.57712571812127,167.6342010498047,3274295,0.0,0.0
2016-04-18,167.62567247622272,171.48480811635193,167.1836535977341,170.01425170898438,2767102,0.0,0.0
2016-04-20,168.81573500680474,170.67729969763832,166.94567737551117,168.84974670410156,2264184,0.0,0.0
2016-04-21,167.91471071729518,169.46175705816356,163.63056805293164,164.2170867919922,2387214,0.0,0.0
2016-04-22,163.87704866029358,165.4580931197336,161.53946703895326,162.27899169921875,1690044,0.0,0.0
2016-04-25,162.4235369698136,168.0847346787727,162.4235369698136,166.5206756591797,2513575,0.0,0.0
2016-04-26,165.8151191526863,168.9857279482329,165.75562863833875,168.03370666503906,1753984,0.0,0.0
2016-04-27,166.94569874948385,169.81029604958243,166.94569874948385,169.05377197265625,2351041,0.0,0.0
2016-04-28,169.0707293209545,169.206736158435,162.35550320682538,163.9280548095703,4287839,0.0,0.0
2016-04-29,163.97057209799667,164.0555680580964,157.25534546556588,160.28994750976562,2788439,0.0,0.0
2016-05-02,163.6985218973825,185.6802693727345,163.6985218973825,184.1162109375,18431080,0.0,0.0
2016-05-03,185.34025787476514,191.68146089524913,175.85392550259962,177.25648498535156,13290100,0.0,0.0
2016-05-04,177.14603115092518,183.45325127372996,175.55648005270356,177.2225341796875,6394037,0.0,0.0
2016-05-05,178.16606357573815,180.71614217069316,174.09441745247395,174.9274444580078,4850895,0.0,0.0
2016-05-06,177.06101570068105,179.96811716198744,175.48846396944015,178.65907287597656,1939261,0.0,0.0
2016-05-09,179.1860612977333,179.86608212843396,176.97598028613967,178.3445281982422,2483858,0.0,0.0
2016-05-10,179.35604368898234,183.1471686561296,178.42951475942843,180.7755889892578,3880528,0.0,0.0
2016-05-11,177.65599141382515,184.94924237956977,176.2109538834179,184.35421752929688,3293174,0.0,0.0
2016-05-12,186.15628452458884,191.03543753516203,184.65172992066493,190.346923828125,5036623,0.0,0.0
2016-05-13,189.7263933888274,190.23640896505628,179.87457187469263,181.9061279296875,3168851,0.0,0.0
2016-05-16,182.43318425766668,184.91526577108596,179.96810193490606,182.18667602539062,2694372,0.0,0.0
2016-05-17,182.26314928617708,188.52786252618048,182.26314928617708,186.8022918701172,3717800,0.0,0.0
2016-05-18,186.88730449942094,195.00507579543972,182.3481485216185,193.09251403808594,4373209,0.0,0.0
2016-05-19,193.09248872869645,194.08702763430628,183.94618121917028,187.15078735351562,3193837,0.0,0.0
2016-05-20,189.54797225462872,190.64450685453315,181.47268907121872,182.3482208251953,2995772,0.0,0.0
2016-05-23,185.3063050214022,190.91650479820117,183.24924286309218,189.5819549560547,4039505,0.0,0.0
2016-05-24,190.74645514028995,197.83568959772245,188.3578626730099,196.62014770507812,6325355,0.0,0.0
2016-05-25,198.05673138884785,200.89583621845895,192.83755318561705,194.18910217285156,3594436,0.0,0.0
2016-05-26,192.2935330854423,204.64445139597674,192.2935330854423,203.4289093017578,4595495,0.0,0.0
2016-05-27,203.15687359544037,207.37300536964275,199.33173648995867,202.995361328125,3826266,0.0,0.0
2016-05-30,202.332342325833,207.37300806799993,199.86726014907205,204.0323944091797,2653848,0.0,0.0
2016-05-31,203.02086193271447,204.4149019273534,199.49324400582873,200.67477416992188,4411660,0.0,0.0
2016-06-01,200.6917779554163,202.88485975538964,196.52664375331463,197.61468505859375,2813400,0.0,0.0
2016-06-02,197.80169942083668,198.9067399712118,195.19210406916054,196.628662109375,2896239,0.0,0.0
2016-06-03,197.20667474022753,200.91280439548487,197.20667474022753,199.19573974609375,3185431,0.0,0.0
2016-06-06,199.19570745548026,201.32077895100787,192.92250140592512,195.52359008789062,2723212,0.0,0.0
2016-06-07,197.19818105785598,200.83630062642166,195.09010841607903,199.2467498779297,5231861,0.0,0.0
2016-06-08,201.0488147087721,206.4549966048662,199.38274760142315,205.63046264648438,6409267,0.0,0.0
2016-06-09,205.70698485944018,208.25707667432067,202.34087857303464,203.513916015625,4718233,0.0,0.0
2016-06-10,204.0069118821175,205.14595082511315,200.67479100538992,201.40582275390625,1690059,0.0,0.0
2016-06-13,199.7567772250966,202.9868897938497,195.5066333120481,197.0706787109375,2410153,0.0,0.0
2016-06-14,198.46471108842917,200.0797672010246,196.18663334138046,197.61468505859375,1834093,0.0,0.0
2016-06-15,198.0566992593418,200.2497811551223,196.37364631556005,197.21517944335938,1490501,0.0,0.0
2016-06-16,196.9686935556252,198.30322997297517,194.8351152393462,197.20669555664062,3224483,0.0,0.0
2016-06-17,197.35969384404714,197.35969384404714,193.12654907377564,194.06158447265625,1990412,0.0,0.0
2016-06-20,192.80352581529039,195.0986028793102,191.8599975353244,193.60255432128906,2468478,0.0,0.0
2016-06-21,193.46653485618265,197.84419216302126,191.9109825775473,196.52664184570312,4015772,0.0,0.0
2016-06-22,196.67966568532907,197.7422016365586,194.48659701970735,196.441650390625,1195146,0.0,0.0
2016-06-23,196.33964808316628,197.07066650776594,194.01057266436942,195.32810974121094,2122813,0.0,0.0
2016-06-24,192.92250891478398,196.00810784114424,186.33478435988042,194.97958374023438,2862360,0.0,0.0
2016-06-27,193.6365746095949,197.75071193757105,192.56554562484772,196.60317993164062,1445749,0.0,0.0
2016-06-28,196.69664473548005,197.03665514011294,194.09555582176722,196.00811767578125,1846830,0.0,0.0
2016-06-29,195.99963620587968,196.8326630771556,193.12653347561752,194.63108825683594,3078745,0.0,0.0
2016-06-30,196.01664351625226,206.5059961646669,195.82963910619642,204.66993713378906,14278735,0.0,0.0
2016-07-01,206.50598232382973,211.65716275366557,205.40094181649044,208.5375518798828,3597017,0.0,0.0
2016-07-04,208.85209000710182,214.54728534390966,208.85209000710182,210.8921661376953,2843035,0.0,0.0
2016-07-05,210.773110221952,213.000190269848,208.25703065917074,209.25155639648438,1700584,0.0,0.0
2016-07-07,210.7901505464198,210.84965437339537,205.5114688791448,206.2169952392578,2740926,0.0,0.0
2016-07-08,206.7099817547077,209.52358053531256,203.8453854062994,205.84295654296875,1596474,0.0,0.0
2016-07-11,209.75309092128663,219.60492653088318,207.44101480041303,217.5478515625,3171145,0.0,0.0
2016-07-12,220.99898496932323,222.67354503668832,219.00991990452923,221.1859893798828,4302326,0.0,0.0
2016-07-13,219.68142965275902,220.98196747949282,216.38332067533966,218.66989135742188,1941175,0.0,0.0
2016-07-14,218.66989664349092,219.82593473247218,215.23578075614324,216.48532104492188,1956626,0.0,0.0
2016-07-15,218.30439409684942,219.79194975715382,215.56731138337904,216.16232299804688,2636882,0.0,0.0
2016-07-18,217.110322551798,218.38286700431885,208.40746882960755,209.9191436767578,4999224,1.169224,0.0
