event_time,close,sPos,sNeg,trigger
2024-03-05,625.4069213867,0.0,0.0,-1
2024-03-19,652.3050537109,0.0,0.0,1
2024-03-26,683.3418579102,0.0,0.0,1
2024-03-28,716.4849853516,0.0,0.0,1
2024-04-16,687.7077636719,0.0,0.0,-1
2024-04-22,721.127746582,0.0,0.0,1
2024-04-26,665.650390625,0.0,0.0,-1
2024-05-09,653.1851806641,0.0,0.0,-1
2024-05-27,681.8979492188,0.0,0.0,1
2024-05-30,654.302734375,0.0,0.0,-1
2024-06-03,683.8807373047,0.0,0.0,1
2024-06-04,643.7313232422,0.0,0.0,-1
2024-06-05,676.0783081055,0.0,0.0,1
2024-06-07,711.1596069336,0.0,0.0,1
2024-07-11,690.7676391602,0.0,0.0,-1
2024-07-23,668.5845336914,0.0,0.0,-1
2024-08-06,649.8252563477,0.0,0.0,-1
2024-08-21,669.4044189453,0.0,0.0,1
2024-08-29,702.0231323242,0.0,0.0,1
2024-09-02,739.4422607422,0.0,0.0,1
2024-09-13,755.1900634766,0.0,0.0,1
2024-09-18,758.4301147461,0.0,0.0,1
2024-10-03,738.8261108398,0.0,0.0,-1
2024-10-15,697.3867797852,0.0,0.0,-1
2024-10-22,663.6946411133,0.0,0.0,-1
2024-10-23,695.2897338867,0.0,0.0,1
2024-11-12,659.7490234375,0.0,0.0,-1
2024-12-04,669.8665771484,0.0,0.0,1
2024-12-11,707.1466064453,0.0,0.0,1
2024-12-19,687.6120605469,0.0,0.0,-1
2025-01-02,734.3884277344,0.0,0.0,1
2025-01-20,739.447265625,0.0,0.0,1
2025-01-28,755.9951171875,0.0,0.0,1
2025-01-30,785.319152832,0.0,0.0,1
2025-02-03,837.4127807617,0.0,0.0,1
2025-02-11,814.0966186523,0.0,0.0,-1
2025-02-18,841.3981323242,0.0,0.0,1
2025-02-27,865.2012939453,0.0,0.0,1
2025-03-05,824.7807006836,0.0,0.0,-1
2025-03-17,852.7729492188,0.0,0.0,1
2025-03-21,886.1420288086,0.0,0.0,1
2025-04-01,864.4857177734,0.0,0.0,-1
2025-04-11,886.6389770508,0.0,0.0,1
2025-04-21,921.6628417969,0.0,0.0,1
2025-04-30,858.1547851562,0.0,0.0,-1
2025-05-05,887.7223510742,0.0,0.0,1
2025-05-09,859.9691162109,0.0,0.0,-1
2025-05-12,897.5386352539,0.0,0.0,1
2025-06-05,893.4000244141,0.0,0.0,-1
2025-06-06,937.1500244141,0.0,0.0,1
2025-06-13,933.0999755859,0.0,0.0,-1
2025-06-19,900.5,0.0,0.0,-1
2025-06-25,928.0,0.0,0.0,1
2025-07-02,923.0,0.0,0.0,-1
2025-07-09,940.5999755859,0.0,0.0,1
2025-07-14,918.8499755859,0.0,0.0,-1
2025-07-21,948.450012207,0.0,0.0,1
2025-07-25,913.75,0.0,0.0,-1
2025-07-28,880.5,0.0,0.0,-1
2025-08-12,853.0,0.0,0.0,-1
2025-08-18,905.200012207,0.0,0.0,1
2025-08-26,876.25,0.0,0.0,-1
2025-09-04,934.75,0.0,0.0,1
2025-09-10,967.950012207,0.0,0.0,1
2025-09-12,1003.25,0.0,0.0,1
2025-09-23,1025.5,0.0,0.0,1
2025-09-26,985.0999755859,0.0,0.0,-1
2025-10-07,1016.549987793,0.0,0.0,1
2025-10-15,1059.9000244141,0.0,0.0,1
2025-10-23,1094.1500244141,0.0,0.0,1
2025-10-29,1062.9499511719,0.0,0.0,-1
2025-11-10,1085.0,0.0,0.0,1
2025-11-11,1005.200012207,0.0,0.0,-1
2025-11-24,994.0,0.0,0.0,-1
2025-11-27,1033.8000488281,0.0,0.0,1
2025-12-05,1048.0,0.0,0.0,1
2025-12-09,1016.700012207,0.0,0.0,-1
2025-12-30,989.299987793,0.0,0.0,-1
2026-01-09,959.5999755859,0.0,0.0,-1
2026-01-20,933.200012207,0.0,0.0,-1
2026-01-27,914.700012207,0.0,0.0,-1
2026-02-02,903.700012207,0.0,0.0,-1
2026-02-03,964.4000244141,0.0,0.0,1
2026-02-12,999.0999755859,0.0,0.0,1
