event_time,close,sPos,sNeg,trigger
2024-02-22,192.0218048096,0.0,0.0,1
2024-03-04,206.663772583,0.0,0.0,1
2024-03-13,187.6341400146,0.0,0.0,-1
2024-03-26,197.3082885742,0.0,0.0,1
2024-04-02,218.6817169189,0.0,0.0,1
2024-04-15,231.9906158447,0.0,0.0,1
2024-05-13,222.392364502,0.0,0.0,-1
2024-05-17,245.5963745117,0.0,0.0,1
2024-05-21,271.2741699219,0.0,0.0,1
2024-05-23,285.4736633301,0.0,0.0,1
2024-06-03,315.3073425293,0.0,0.0,1
2024-06-04,252.8692779541,0.0,0.0,-1
2024-06-06,270.7793884277,0.0,0.0,1
2024-06-12,287.4526367188,0.0,0.0,1
2024-06-14,306.3522644043,0.0,0.0,1
2024-07-05,320.6506652832,0.0,0.0,1
2024-07-18,310.2608642578,0.0,0.0,-1
2024-07-29,317.9790344238,0.0,0.0,1
2024-08-02,299.7720947266,0.0,0.0,-1
2024-08-06,284.2367248535,0.0,0.0,-1
2024-08-09,299.0299377441,0.0,0.0,1
2024-09-05,288.3304748535,0.0,0.0,-1
2024-09-19,270.5702819824,0.0,0.0,-1
2024-09-24,289.5210876465,0.0,0.0,1
2024-10-03,276.5234375,0.0,0.0,-1
2024-10-09,280.194519043,0.0,0.0,1
2024-10-22,269.5284729004,0.0,0.0,-1
2024-10-29,281.434753418,0.0,0.0,1
2024-11-06,299.4926147461,0.0,0.0,1
2024-11-13,279.3511657715,0.0,0.0,-1
2024-11-25,290.0668334961,0.0,0.0,1
2024-11-27,304.9496765137,0.0,0.0,1
2024-12-19,296.1687927246,0.0,0.0,-1
2025-01-06,279.946472168,0.0,0.0,-1
2025-01-10,268.8835449219,0.0,0.0,-1
2025-01-16,273.9933166504,0.0,0.0,1
2025-01-22,268.2386169434,0.0,0.0,-1
2025-01-28,256.2331237793,0.0,0.0,-1
2025-01-30,276.5730285645,0.0,0.0,1
2025-02-03,272.0089416504,0.0,0.0,-1
2025-02-05,286.6933898926,0.0,0.0,1
2025-02-10,271.3144226074,0.0,0.0,-1
2025-02-12,257.1260986328,0.0,0.0,-1
2025-02-18,242.6897277832,0.0,0.0,-1
2025-02-20,258.2174987793,0.0,0.0,1
2025-03-04,262.6426696777,0.0,0.0,1
2025-03-13,279.4217834473,0.0,0.0,1
2025-03-20,296.3624572754,0.0,0.0,1
2025-04-02,281.7463684082,0.0,0.0,-1
2025-04-07,271.4702148438,0.0,0.0,-1
2025-04-15,293.0202331543,0.0,0.0,1
2025-04-29,316.3660888672,0.0,0.0,1
2025-05-12,322.0528564453,0.0,0.0,1
2025-05-14,343.5530090332,0.0,0.0,1
2025-05-16,363.0577392578,0.0,0.0,1
2025-05-21,382.1135559082,0.0,0.0,1
2025-06-10,396.4801940918,0.0,0.0,1
2025-06-16,402.9152832031,0.0,0.0,1
2025-06-23,419.9258117676,0.0,0.0,1
2025-06-25,405.110168457,0.0,0.0,-1
2025-06-30,420.5244445801,0.0,0.0,1
2025-07-07,416.1346130371,0.0,0.0,-1
2025-07-14,406.3572998047,0.0,0.0,-1
2025-07-18,393.8363342285,0.0,0.0,-1
2025-07-29,387.3513793945,0.0,0.0,-1
2025-08-20,371.8500061035,0.0,0.0,-1
2025-09-03,378.700012207,0.0,0.0,1
2025-09-10,388.049987793,0.0,0.0,1
2025-09-12,399.299987793,0.0,0.0,1
2025-09-24,395.450012207,0.0,0.0,-1
2025-10-03,412.6499938965,0.0,0.0,1
2025-10-20,416.5,0.0,0.0,1
2025-10-29,407.200012207,0.0,0.0,-1
2025-10-31,426.1000061035,0.0,0.0,1
2025-11-06,408.799987793,0.0,0.0,-1
2025-11-11,427.299987793,0.0,0.0,1
2025-11-24,403.799987793,0.0,0.0,-1
2025-12-08,386.3999938965,0.0,0.0,-1
2025-12-22,398.950012207,0.0,0.0,1
2026-01-05,413.799987793,0.0,0.0,1
2026-01-21,402.6499938965,0.0,0.0,-1
2026-01-22,417.299987793,0.0,0.0,1
2026-01-28,453.0,0.0,0.0,1
2026-02-03,438.950012207,0.0,0.0,-1
2026-02-12,443.8999938965,0.0,0.0,1
