event_time,close,sPos,sNeg,trigger
2024-03-05,1152.7849121094,0.0,0.0,1
2024-03-19,1211.4152832031,0.0,0.0,1
2024-04-18,1248.2996826172,0.0,0.0,1
2024-04-23,1323.8436279297,0.0,0.0,1
2024-05-03,1259.7890625,0.0,0.0,-1
2024-05-16,1326.5556640625,0.0,0.0,1
2024-06-04,1281.7814941406,0.0,0.0,-1
2024-06-06,1351.7042236328,0.0,0.0,1
2024-06-12,1418.5693359375,0.0,0.0,1
2024-06-20,1362.1087646484,0.0,0.0,-1
2024-06-26,1439.3785400391,0.0,0.0,1
2024-07-18,1463.1955566406,0.0,0.0,1
2024-07-26,1493.5216064453,0.0,0.0,1
2024-08-06,1423.6484375,0.0,0.0,-1
2024-08-23,1494.2581787109,0.0,0.0,1
2024-08-29,1552.9178466797,0.0,0.0,1
2024-09-12,1633.0974121094,0.0,0.0,1
2024-09-20,1697.55859375,0.0,0.0,1
2024-09-26,1756.4165039062,0.0,0.0,1
2024-09-30,1695.3768310547,0.0,0.0,-1
2024-10-04,1627.2960205078,0.0,0.0,-1
2024-10-15,1703.0129394531,0.0,0.0,1
2024-10-25,1652.1878662109,0.0,0.0,-1
2024-11-04,1578.0576171875,0.0,0.0,-1
2024-11-18,1524.2573242188,0.0,0.0,-1
2024-11-29,1613.6600341797,0.0,0.0,1
2024-12-04,1570.966796875,0.0,0.0,-1
2024-12-13,1667.8072509766,0.0,0.0,1
2024-12-17,1601.908203125,0.0,0.0,-1
2025-01-20,1627.5439453125,0.0,0.0,1
2025-02-04,1647.6755371094,0.0,0.0,1
2025-02-07,1662.8487548828,0.0,0.0,1
2025-02-19,1631.5603027344,0.0,0.0,-1
2025-02-28,1557.1821289062,0.0,0.0,-1
2025-03-06,1613.412109375,0.0,0.0,1
2025-03-20,1691.1124267578,0.0,0.0,1
2025-04-07,1672.6667480469,0.0,0.0,-1
2025-04-11,1742.0367431641,0.0,0.0,1
2025-04-16,1807.4895019531,0.0,0.0,1
2025-04-17,1873.4382324219,0.0,0.0,1
2025-04-25,1802.1342773438,0.0,0.0,-1
2025-05-06,1885.2396240234,0.0,0.0,1
2025-05-13,1805.5061035156,0.0,0.0,-1
2025-05-20,1793.9031982422,0.0,0.0,-1
2025-06-04,1859.8518066406,0.0,0.0,1
2025-06-20,1920.6435546875,0.0,0.0,1
2025-06-26,1997.6003417969,0.0,0.0,1
2025-07-10,1948.2131347656,0.0,0.0,-1
2025-07-28,1890.3000488281,0.0,0.0,-1
2025-08-08,1858.5999755859,0.0,0.0,-1
2025-08-19,1909.6999511719,0.0,0.0,1
2025-09-16,1939.5,0.0,0.0,1
2025-09-29,1902.1999511719,0.0,0.0,-1
2025-10-07,1929.0,0.0,0.0,1
2025-10-17,2012.0,0.0,0.0,1
2025-10-27,2080.1000976562,0.0,0.0,1
2025-11-04,2113.3000488281,0.0,0.0,1
2025-11-07,2001.1999511719,0.0,0.0,-1
2025-11-12,2073.8000488281,0.0,0.0,1
2025-11-18,2149.1999511719,0.0,0.0,1
2025-11-28,2101.6000976562,0.0,0.0,-1
2025-12-22,2147.6000976562,0.0,0.0,1
2025-12-29,2081.6000976562,0.0,0.0,-1
2026-01-09,2027.0999755859,0.0,0.0,-1
2026-01-23,1984.6999511719,0.0,0.0,-1
2026-02-04,2025.8000488281,0.0,0.0,1
