event_time,close,sPos,sNeg,trigger
2024-02-13,398.3813781738,0.0,0.0,1
2024-02-14,410.7110595703,0.0,0.0,1
2024-02-15,419.9583435059,0.0,0.0,1
2024-02-19,405.9993591309,0.0,0.0,-1
2024-02-20,397.7590942383,0.0,0.0,-1
2024-02-21,385.6882629395,0.0,0.0,-1
2024-02-22,396.5564575195,0.0,0.0,1
2024-02-28,386.8018188477,0.0,0.0,-1
2024-03-01,397.6254577637,0.0,0.0,1
2024-03-04,405.6875915527,0.0,0.0,1
2024-03-11,404.3513183594,0.0,0.0,-1
2024-03-13,371.5239562988,0.0,0.0,-1
2024-03-14,381.0113525391,0.0,0.0,1
2024-03-15,369.9204101562,0.0,0.0,-1
2024-03-21,384.8864746094,0.0,0.0,1
2024-04-01,393.7948608398,0.0,0.0,1
2024-04-09,391.8350830078,0.0,0.0,-1
2024-04-10,406.5338745117,0.0,0.0,1
2024-04-18,390.7215270996,0.0,0.0,-1
2024-04-22,394.5966491699,0.0,0.0,1
2024-04-25,403.0596008301,0.0,0.0,1
2024-05-03,422.7916564941,0.0,0.0,1
2024-05-06,410.3199462891,0.0,0.0,-1
2024-05-08,413.7496948242,0.0,0.0,1
2024-05-09,395.0866088867,0.0,0.0,-1
2024-05-15,416.778503418,0.0,0.0,1
2024-05-21,437.0895690918,0.0,0.0,1
2024-05-22,446.9334106445,0.0,0.0,1
2024-05-28,434.4170837402,0.0,0.0,-1
2024-05-31,437.5795898438,0.0,0.0,1
2024-06-03,456.4207458496,0.0,0.0,1
2024-06-04,393.6612548828,0.0,0.0,-1
2024-06-05,410.2753601074,0.0,0.0,1
2024-06-06,421.3218383789,0.0,0.0,1
2024-06-12,435.3525085449,0.0,0.0,1
2024-06-19,425.775970459,0.0,0.0,-1
2024-06-24,421.9899291992,0.0,0.0,-1
2024-07-01,422.9697875977,0.0,0.0,1
2024-07-03,432.0118713379,0.0,0.0,1
2024-07-08,439.4503479004,0.0,0.0,1
2024-07-11,445.463470459,0.0,0.0,1
2024-07-16,456.5098876953,0.0,0.0,1
2024-07-19,434.7289123535,0.0,0.0,-1
2024-07-26,454.1936950684,0.0,0.0,1
2024-07-30,462.6566162109,0.0,0.0,1
2024-08-01,481.408782959,0.0,0.0,1
2024-08-02,467.2444458008,0.0,0.0,-1
2024-08-05,451.4766235352,0.0,0.0,-1
2024-08-07,473.4803466797,0.0,0.0,1
2024-08-08,466.3090820312,0.0,0.0,-1
2024-08-13,464.7946472168,0.0,0.0,-1
2024-08-14,449.6059265137,0.0,0.0,-1
2024-08-16,460.9427185059,0.0,0.0,1
2024-08-19,469.6703796387,0.0,0.0,1
2024-08-21,478.8478088379,0.0,0.0,1
2024-08-23,484.8311462402,0.0,0.0,1
2024-08-28,473.5842285156,0.0,0.0,-1
2024-09-03,467.5109558105,0.0,0.0,-1
2024-09-04,453.1598815918,0.0,0.0,-1
2024-09-06,439.573638916,0.0,0.0,-1
2024-09-12,445.9618835449,0.0,0.0,1
2024-09-18,438.2690124512,0.0,0.0,-1
2024-09-19,430.0362854004,0.0,0.0,-1
2024-09-20,441.7330627441,0.0,0.0,1
2024-09-23,450.4156799316,0.0,0.0,1
2024-09-27,464.3617858887,0.0,0.0,1
2024-10-01,457.5236816406,0.0,0.0,-1
2024-10-04,447.3565063477,0.0,0.0,-1
2024-10-07,432.2856750488,0.0,0.0,-1
2024-10-08,442.5428466797,0.0,0.0,1
2024-10-14,448.3462219238,0.0,0.0,1
2024-10-17,440.7883300781,0.0,0.0,-1
2024-10-22,421.3986816406,0.0,0.0,-1
2024-10-24,429.406463623,0.0,0.0,1
2024-10-25,414.8754882812,0.0,0.0,-1
2024-10-28,397.3752746582,0.0,0.0,-1
2024-10-30,404.1234436035,0.0,0.0,1
2024-11-04,398.8598937988,0.0,0.0,-1
2024-11-05,405.7166748047,0.0,0.0,1
2024-11-08,395.5947570801,0.0,0.0,-1
2024-11-12,386.2657775879,0.0,0.0,-1
2024-11-21,378.7559814453,0.0,0.0,-1
2024-11-22,386.2657775879,0.0,0.0,1
2024-12-02,393.4024658203,0.0,0.0,1
2024-12-09,386.2191467285,0.0,0.0,-1
2024-12-12,381.6479797363,0.0,0.0,-1
2024-12-17,375.8639831543,0.0,0.0,-1
2024-12-19,365.6488037109,0.0,0.0,-1
2024-12-20,356.3664550781,0.0,0.0,-1
2024-12-30,352.541595459,0.0,0.0,-1
2025-01-01,360.4711914062,0.0,0.0,1
2025-01-03,367.2346801758,0.0,0.0,1
2025-01-06,353.334564209,0.0,0.0,-1
2025-01-09,347.2240905762,0.0,0.0,-1
2025-01-13,338.5481567383,0.0,0.0,-1
2025-01-15,349.4630432129,0.0,0.0,1
2025-01-17,361.6373291016,0.0,0.0,1
2025-01-22,353.7543640137,0.0,0.0,-1
2025-01-27,350.5358581543,0.0,0.0,-1
2025-01-29,353.9876098633,0.0,0.0,1
2025-01-31,374.7844238281,0.0,0.0,1
2025-02-01,364.749786377,0.0,0.0,-1
2025-02-03,354.0524902344,0.0,0.0,-1
2025-02-05,362.430480957,0.0,0.0,1
2025-02-10,350.7391967773,0.0,0.0,-1
2025-02-11,339.8525390625,0.0,0.0,-1
2025-02-14,335.3085632324,0.0,0.0,-1
2025-02-19,342.9765319824,0.0,0.0,1
2025-02-21,350.2185058594,0.0,0.0,1
2025-02-25,341.8878173828,0.0,0.0,-1
2025-02-28,349.6504821777,0.0,0.0,1
2025-03-03,341.1305236816,0.0,0.0,-1
2025-03-05,348.6091918945,0.0,0.0,1
2025-03-06,362.1938171387,0.0,0.0,1
2025-03-10,355.1411743164,0.0,0.0,-1
2025-03-17,365.17578125,0.0,0.0,1
2025-03-19,374.7370910645,0.0,0.0,1
2025-03-21,383.7777709961,0.0,0.0,1
2025-03-25,377.056427002,0.0,0.0,-1
2025-04-04,364.5131225586,0.0,0.0,-1
2025-04-07,357.365814209,0.0,0.0,-1
2025-04-09,354.620513916,0.0,0.0,-1
2025-04-11,371.1871032715,0.0,0.0,1
2025-04-16,377.9557800293,0.0,0.0,1
2025-04-25,372.1811218262,0.0,0.0,-1
2025-04-29,368.3471374512,0.0,0.0,-1
2025-05-06,358.0758056641,0.0,0.0,-1
2025-05-08,364.8918151855,0.0,0.0,1
2025-05-12,374.4057922363,0.0,0.0,1
2025-05-14,381.6004333496,0.0,0.0,1
2025-05-22,377.5770874023,0.0,0.0,-1
2025-06-03,371.8971252441,0.0,0.0,-1
2025-06-09,379.6124267578,0.0,0.0,1
2025-06-12,371.7551269531,0.0,0.0,-1
2025-06-19,363.7557983398,0.0,0.0,-1
2025-06-23,371.5657958984,0.0,0.0,1
2025-07-02,366.264465332,0.0,0.0,-1
2025-07-18,367.7791137695,0.0,0.0,1
2025-07-25,360.4898071289,0.0,0.0,-1
2025-07-31,356.2771606445,0.0,0.0,-1
2025-08-06,361.9968261719,0.0,0.0,1
2025-08-12,370.1618041992,0.0,0.0,1
2025-08-22,364.5719604492,0.0,0.0,-1
2025-08-26,362.6247253418,0.0,0.0,-1
2025-09-02,370.0729064941,0.0,0.0,1
2025-09-03,379.5170288086,0.0,0.0,1
2025-09-12,383.9469909668,0.0,0.0,1
2025-09-25,382.1458129883,0.0,0.0,-1
2025-10-03,373.2371826172,0.0,0.0,-1
2025-10-17,378.5433959961,0.0,0.0,1
2025-10-27,386.2350158691,0.0,0.0,1
2025-10-29,371.9227905273,0.0,0.0,-1
2025-11-10,381.3500061035,0.0,0.0,1
2025-11-19,379.049987793,0.0,0.0,-1
2025-11-24,372.549987793,0.0,0.0,-1
2025-11-26,377.3500061035,0.0,0.0,1
