event_time,close,sPos,sNeg,trigger
2024-02-13,2048.7951660156,0.0,0.0,-1
2024-02-16,2089.986328125,0.0,0.0,1
2024-02-19,2152.4682617188,0.0,0.0,1
2024-03-01,2238.1259765625,0.0,0.0,1
2024-03-12,2167.7534179688,0.0,0.0,-1
2024-03-14,2180.1606445312,0.0,0.0,1
2024-03-22,2207.0092773438,0.0,0.0,1
2024-03-28,2270.28515625,0.0,0.0,1
2024-04-05,2220.9052734375,0.0,0.0,-1
2024-04-08,2263.8334960938,0.0,0.0,1
2024-04-12,2237.2824707031,0.0,0.0,-1
2024-04-19,2256.240234375,0.0,0.0,1
2024-04-23,2352.5187988281,0.0,0.0,1
2024-04-29,2368.8464355469,0.0,0.0,1
2024-05-02,2419.2189941406,0.0,0.0,1
2024-05-03,2462.8918457031,0.0,0.0,1
2024-05-07,2402.9904785156,0.0,0.0,-1
2024-05-08,2359.6652832031,0.0,0.0,-1
2024-05-17,2405.6206054688,0.0,0.0,1
2024-05-27,2372.8662109375,0.0,0.0,-1
2024-05-28,2422.1965332031,0.0,0.0,1
2024-05-30,2327.7543945312,0.0,0.0,-1
2024-06-03,2351.1789550781,0.0,0.0,1
2024-06-04,2239.6149902344,0.0,0.0,-1
2024-06-05,2287.7045898438,0.0,0.0,1
2024-06-07,2362.1467285156,0.0,0.0,1
2024-06-10,2428.5986328125,0.0,0.0,1
2024-06-20,2480.2119140625,0.0,0.0,1
2024-06-24,2496.390625,0.0,0.0,1
2024-06-27,2617.9794921875,0.0,0.0,1
2024-07-01,2706.1186523438,0.0,0.0,1
2024-07-10,2781.3051757812,0.0,0.0,1
2024-07-12,2822.595703125,0.0,0.0,1
2024-07-18,2771.0322265625,0.0,0.0,-1
2024-07-19,2722.5952148438,0.0,0.0,-1
2024-07-22,2790.6354980469,0.0,0.0,1
2024-07-26,2822.1491699219,0.0,0.0,1
2024-07-30,2770.138671875,0.0,0.0,-1
2024-08-02,2686.6645507812,0.0,0.0,-1
2024-08-05,2592.8178710938,0.0,0.0,-1
2024-08-08,2535.4265136719,0.0,0.0,-1
2024-08-13,2510.1186523438,0.0,0.0,-1
2024-08-16,2590.9248046875,0.0,0.0,1
2024-08-21,2675.1186523438,0.0,0.0,1
2024-08-22,2745.1635742188,0.0,0.0,1
2024-08-27,2690.1137695312,0.0,0.0,-1
