event_time,close,sPos,sNeg,trigger
2024-02-21,1522.5637207031,0.0,0.0,-1
2024-02-22,1569.1815185547,0.0,0.0,1
2024-02-26,1535.1253662109,0.0,0.0,-1
2024-03-05,1506.7919921875,0.0,0.0,-1
2024-03-14,1562.5284423828,0.0,0.0,1
2024-03-18,1529.1702880859,0.0,0.0,-1
2024-03-19,1487.9959716797,0.0,0.0,-1
2024-03-22,1449.5666503906,0.0,0.0,-1
2024-04-02,1422.0708007812,0.0,0.0,-1
2024-04-15,1400.4367675781,0.0,0.0,-1
2024-04-18,1364.8918457031,0.0,0.0,-1
2024-04-23,1383.3155517578,0.0,0.0,1
2024-04-29,1290.9643554688,0.0,0.0,-1
2024-05-03,1254.3494873047,0.0,0.0,-1
2024-05-16,1271.283203125,0.0,0.0,1
2024-05-31,1248.6044921875,0.0,0.0,-1
2024-06-05,1267.0869140625,0.0,0.0,1
2024-06-06,1317.8194580078,0.0,0.0,1
2024-06-07,1349.880859375,0.0,0.0,1
2024-06-27,1371.9466552734,0.0,0.0,1
2024-07-04,1435.5509033203,0.0,0.0,1
2024-07-12,1471.2426757812,0.0,0.0,1
2024-07-18,1503.6342773438,0.0,0.0,1
2024-07-23,1518.7738037109,0.0,0.0,1
2024-07-26,1553.9315185547,0.0,0.0,1
2024-08-02,1529.1787109375,0.0,0.0,-1
2024-08-05,1484.6136474609,0.0,0.0,-1
2024-08-07,1515.2105712891,0.0,0.0,1
2024-08-08,1480.2901611328,0.0,0.0,-1
2024-08-09,1510.7918701172,0.0,0.0,1
2024-08-14,1545.1899414062,0.0,0.0,1
2024-08-16,1585.1937255859,0.0,0.0,1
2024-08-26,1633.8447265625,0.0,0.0,1
2024-08-29,1664.6315917969,0.0,0.0,1
2024-09-02,1716.7033691406,0.0,0.0,1
2024-09-06,1668.669921875,0.0,0.0,-1
2024-09-10,1690.5249023438,0.0,0.0,1
2024-09-13,1722.5473632812,0.0,0.0,1
2024-09-18,1669.0500488281,0.0,0.0,-1
2024-09-24,1687.1990966797,0.0,0.0,1
2024-09-27,1718.3662109375,0.0,0.0,1
2024-10-03,1690.0024414062,0.0,0.0,-1
2024-10-09,1719.6011962891,0.0,0.0,1
2024-10-14,1763.5013427734,0.0,0.0,1
2024-10-22,1743.3492431641,0.0,0.0,-1
2024-10-28,1790.2145996094,0.0,0.0,1
2024-10-30,1758.7000732422,0.0,0.0,-1
2024-10-31,1689.119140625,0.0,0.0,-1
2024-11-06,1758.3176269531,0.0,0.0,1
2024-11-11,1785.9587402344,0.0,0.0,1
2024-11-18,1755.0654296875,0.0,0.0,-1
2024-11-22,1815.7037353516,0.0,0.0,1
2024-11-28,1760.7087402344,0.0,0.0,-1
2024-12-03,1808.3870849609,0.0,0.0,1
2024-12-05,1840.1885986328,0.0,0.0,1
2024-12-13,1883.037109375,0.0,0.0,1
2024-12-19,1849.9921875,0.0,0.0,-1
2024-12-23,1820.1032714844,0.0,0.0,-1
2024-12-30,1844.9229736328,0.0,0.0,1
2025-01-02,1886.2889404297,0.0,0.0,1
2025-01-07,1832.4415283203,0.0,0.0,-1
2025-01-10,1908.1915283203,0.0,0.0,1
2025-01-14,1734.5499267578,0.0,0.0,-1
2025-01-16,1714.177734375,0.0,0.0,-1
2025-01-22,1765.8181152344,0.0,0.0,1
2025-01-24,1732.1480712891,0.0,0.0,-1
2025-01-27,1653.9871826172,0.0,0.0,-1
2025-01-31,1667.0301513672,0.0,0.0,1
2025-02-01,1636.6447753906,0.0,0.0,-1
2025-02-04,1673.8896484375,0.0,0.0,1
2025-02-20,1630.4134521484,0.0,0.0,-1
2025-02-24,1588.3859863281,0.0,0.0,-1
2025-02-28,1521.7224121094,0.0,0.0,-1
2025-03-04,1483.5113525391,0.0,0.0,-1
2025-03-05,1519.6934814453,0.0,0.0,1
2025-03-10,1496.8442382812,0.0,0.0,-1
2025-03-13,1482.7867431641,0.0,0.0,-1
2025-03-21,1513.6550292969,0.0,0.0,1
2025-03-24,1549.8370361328,0.0,0.0,1
2025-03-28,1538.5815429688,0.0,0.0,-1
2025-04-01,1478.5357666016,0.0,0.0,-1
2025-04-03,1420.3256835938,0.0,0.0,-1
2025-04-04,1373.9509277344,0.0,0.0,-1
2025-04-07,1327.5759277344,0.0,0.0,-1
2025-04-15,1378.2019042969,0.0,0.0,1
2025-04-21,1431.8228759766,0.0,0.0,1
2025-04-23,1540.0307617188,0.0,0.0,1
2025-05-08,1544.8000488281,0.0,0.0,1
2025-05-12,1632.3651123047,0.0,0.0,1
2025-05-13,1582.8166503906,0.0,0.0,-1
2025-05-15,1657.4815673828,0.0,0.0,1
2025-05-16,1622.2014160156,0.0,0.0,-1
2025-05-26,1635.5902099609,0.0,0.0,1
2025-05-30,1599.4305419922,0.0,0.0,-1
2025-06-10,1630.2150878906,0.0,0.0,1
2025-06-11,1682.7933349609,0.0,0.0,1
2025-06-17,1690.3182373047,0.0,0.0,1
2025-06-23,1664.5178222656,0.0,0.0,-1
