event_time,close,sPos,sNeg,trigger
2024-02-20,707.7870483398,0.0,0.0,1
2024-02-28,685.9348754883,0.0,0.0,-1
2024-03-07,703.7962036133,0.0,0.0,1
2024-04-01,715.6713256836,0.0,0.0,1
2024-04-04,743.4611816406,0.0,0.0,1
2024-04-15,727.4490966797,0.0,0.0,-1
2024-05-08,721.5845947266,0.0,0.0,-1
2024-05-23,736.3468017578,0.0,0.0,1
2024-05-31,755.5620727539,0.0,0.0,1
2024-06-03,775.6159667969,0.0,0.0,1
2024-06-04,731.6848754883,0.0,0.0,-1
2024-06-05,765.5520629883,0.0,0.0,1
2024-06-14,787.8013305664,0.0,0.0,1
2024-06-19,817.8698730469,0.0,0.0,1
2024-06-25,844.2631225586,0.0,0.0,1
2024-07-02,853.7597045898,0.0,0.0,1
2024-07-04,852.057800293,0.0,0.0,-1
2024-07-05,813.0598754883,0.0,0.0,-1
2024-07-19,792.9319458008,0.0,0.0,-1
2024-08-02,818.5112304688,0.0,0.0,1
2024-08-05,797.1006469727,0.0,0.0,-1
2024-08-08,810.3958740234,0.0,0.0,1
2024-08-13,790.9093017578,0.0,0.0,-1
2024-09-05,811.7525024414,0.0,0.0,1
2024-09-18,836.0985107422,0.0,0.0,1
2024-09-20,858.9890136719,0.0,0.0,1
2024-09-26,879.8322753906,0.0,0.0,1
2024-09-30,854.4750976562,0.0,0.0,-1
2024-10-03,829.7838134766,0.0,0.0,-1
2024-10-07,798.1119384766,0.0,0.0,-1
2024-10-10,820.1145019531,0.0,0.0,1
2024-10-16,838.5651855469,0.0,0.0,1
2024-10-21,852.8223876953,0.0,0.0,1
2024-11-05,867.2030029297,0.0,0.0,1
2024-11-12,847.6423950195,0.0,0.0,-1
2024-11-19,859.5070800781,0.0,0.0,1
2024-11-25,880.8929443359,0.0,0.0,1
2024-12-03,900.9715576172,0.0,0.0,1
2024-12-05,920.4335327148,0.0,0.0,1
2024-12-18,893.2755737305,0.0,0.0,-1
2024-12-20,873.9370117188,0.0,0.0,-1
2025-01-03,862.9356689453,0.0,0.0,-1
2025-01-08,835.8518676758,0.0,0.0,-1
2025-01-13,804.5499267578,0.0,0.0,-1
2025-01-28,824.0611572266,0.0,0.0,1
2025-02-04,848.9744873047,0.0,0.0,1
2025-02-11,839.3544921875,0.0,0.0,-1
2025-02-20,832.2998046875,0.0,0.0,-1
2025-02-28,854.6477661133,0.0,0.0,1
2025-03-05,833.73046875,0.0,0.0,-1
2025-03-19,860.4197387695,0.0,0.0,1
2025-03-24,887.9969482422,0.0,0.0,1
2025-04-01,872.1363525391,0.0,0.0,-1
2025-04-04,896.5316772461,0.0,0.0,1
2025-04-07,867.1289672852,0.0,0.0,-1
2025-04-11,891.326965332,0.0,0.0,1
2025-04-15,920.0142211914,0.0,0.0,1
2025-04-17,940.6354370117,0.0,0.0,1
2025-04-22,967.7686767578,0.0,0.0,1
2025-04-24,945.6181030273,0.0,0.0,-1
2025-05-09,932.2487792969,0.0,0.0,-1
2025-05-12,965.5487060547,0.0,0.0,1
2025-05-14,942.5594482422,0.0,0.0,-1
2025-06-05,961.7993164062,0.0,0.0,1
2025-06-13,946.0127563477,0.0,0.0,-1
2025-06-20,969.2486572266,0.0,0.0,1
2025-06-26,997.4179077148,0.0,0.0,1
2025-07-18,976.2705078125,0.0,0.0,-1
2025-07-21,997.7670288086,0.0,0.0,1
2025-08-05,988.799987793,0.0,0.0,-1
2025-08-22,982.299987793,0.0,0.0,-1
2025-08-28,957.799987793,0.0,0.0,-1
2025-09-08,966.0,0.0,0.0,1
2025-09-23,957.200012207,0.0,0.0,-1
2025-10-01,965.25,0.0,0.0,1
2025-10-16,994.3499755859,0.0,0.0,1
2025-10-31,987.299987793,0.0,0.0,-1
2025-11-20,1008.8499755859,0.0,0.0,1
2025-11-27,1009.5,0.0,0.0,1
2025-12-02,989.799987793,0.0,0.0,-1
2025-12-17,984.0,0.0,0.0,-1
2026-01-02,1001.5999755859,0.0,0.0,1
2026-01-05,977.5,0.0,0.0,-1
2026-01-07,949.049987793,0.0,0.0,-1
2026-01-14,925.450012207,0.0,0.0,-1
2026-01-29,935.5,0.0,0.0,1
2026-02-03,948.700012207,0.0,0.0,1
2026-02-10,932.4000244141,0.0,0.0,-1
