event_time,close,sPos,sNeg,trigger
2024-02-16,4481.6298828125,0.0,0.0,1
2024-02-20,4270.1533203125,0.0,0.0,-1
2024-02-28,4093.9506835938,0.0,0.0,-1
2024-03-04,4315.396484375,0.0,0.0,1
2024-03-13,4222.1958007812,0.0,0.0,-1
2024-03-14,4374.9096679688,0.0,0.0,1
2024-03-20,4220.6513671875,0.0,0.0,-1
2024-03-22,4383.05078125,0.0,0.0,1
2024-04-02,4267.7666015625,0.0,0.0,-1
2024-04-12,4155.4765625,0.0,0.0,-1
2024-04-18,3978.15234375,0.0,0.0,-1
2024-04-24,4111.0756835938,0.0,0.0,1
2024-05-02,4268.4213867188,0.0,0.0,1
2024-05-09,4458.7529296875,0.0,0.0,1
2024-05-14,4719.4067382812,0.0,0.0,1
2024-05-28,4850.87890625,0.0,0.0,1
2024-06-04,4969.4858398438,0.0,0.0,1
2024-06-05,5294.9389648438,0.0,0.0,1
2024-06-10,5354.5463867188,0.0,0.0,1
2024-06-19,5284.8334960938,0.0,0.0,-1
2024-06-21,5101.7065429688,0.0,0.0,-1
2024-07-01,5243.0991210938,0.0,0.0,1
2024-07-19,5078.9682617188,0.0,0.0,-1
2024-08-02,4971.5634765625,0.0,0.0,-1
2024-08-12,5007.0532226562,0.0,0.0,1
2024-08-14,4781.3901367188,0.0,0.0,-1
2024-08-20,4943.4731445312,0.0,0.0,1
2024-08-30,5142.3662109375,0.0,0.0,1
2024-09-03,5322.5009765625,0.0,0.0,1
2024-09-12,5470.162109375,0.0,0.0,1
2024-09-17,5619.142578125,0.0,0.0,1
2024-09-23,5835.3325195312,0.0,0.0,1
2024-09-27,5615.513671875,0.0,0.0,-1
2024-09-30,5384.619140625,0.0,0.0,-1
2024-10-04,5204.060546875,0.0,0.0,-1
2024-10-16,5088.4482421875,0.0,0.0,-1
2024-10-17,4918.0698242188,0.0,0.0,-1
2024-10-25,4687.9291992188,0.0,0.0,-1
2024-10-29,4512.7436523438,0.0,0.0,-1
2024-10-31,4703.2465820312,0.0,0.0,1
2024-11-04,4530.2758789062,0.0,0.0,-1
2024-11-12,4453.123046875,0.0,0.0,-1
2024-11-13,4260.2631835938,0.0,0.0,-1
2024-11-18,4461.41796875,0.0,0.0,1
2024-12-03,4427.4833984375,0.0,0.0,-1
2024-12-16,4278.5493164062,0.0,0.0,-1
2024-12-18,4137.5810546875,0.0,0.0,-1
2024-12-27,3994.7739257812,0.0,0.0,-1
2025-01-02,4064.103515625,0.0,0.0,1
2025-01-07,3923.2290039062,0.0,0.0,-1
2025-01-30,3938.0751953125,0.0,0.0,1
2025-01-31,4090.1669921875,0.0,0.0,1
2025-02-04,3993.9729003906,0.0,0.0,-1
2025-02-11,3851.1188964844,0.0,0.0,-1
2025-02-14,3732.1228027344,0.0,0.0,-1
2025-02-27,3632.7419433594,0.0,0.0,-1
2025-03-04,3396.2954101562,0.0,0.0,-1
2025-03-17,3375.2790527344,0.0,0.0,-1
2025-03-26,3522.9736328125,0.0,0.0,1
2025-04-07,3407.9389648438,0.0,0.0,-1
2025-04-15,3675.5959472656,0.0,0.0,1
2025-04-23,3807.5883789062,0.0,0.0,1
2025-05-02,3611.3388671875,0.0,0.0,-1
2025-05-12,3850.4907226562,0.0,0.0,1
2025-05-15,4179.1196289062,0.0,0.0,1
2025-05-20,4098.5327148438,0.0,0.0,-1
2025-06-03,4066.6455078125,0.0,0.0,-1
2025-06-09,4202.6962890625,0.0,0.0,1
2025-06-23,4109.64453125,0.0,0.0,-1
2025-07-15,4303.7680664062,0.0,0.0,1
2025-07-25,4149.814453125,0.0,0.0,-1
2025-08-04,4449.1791992188,0.0,0.0,1
2025-08-07,4571.5932617188,0.0,0.0,1
2025-08-13,4677.5283203125,0.0,0.0,1
2025-08-18,4888.7119140625,0.0,0.0,1
2025-08-20,5037.8061523438,0.0,0.0,1
2025-09-01,5143.7412109375,0.0,0.0,1
2025-09-08,5338.9365234375,0.0,0.0,1
2025-09-15,5187.3901367188,0.0,0.0,-1
2025-09-24,5176.1103515625,0.0,0.0,-1
2025-09-30,5367.8725585938,0.0,0.0,1
2025-10-06,5474.7885742188,0.0,0.0,1
2025-10-21,5538.5458984375,0.0,0.0,1
2025-11-04,5207.4985351562,0.0,0.0,-1
2025-11-12,5428.1967773438,0.0,0.0,1
2025-11-17,5687.6396484375,0.0,0.0,1
2025-11-20,5884.796875,0.0,0.0,1
2025-11-26,6019.177734375,0.0,0.0,1
2025-12-01,6175.1376953125,0.0,0.0,1
2025-12-08,6049.0942382812,0.0,0.0,-1
2025-12-09,5886.2680664062,0.0,0.0,-1
2025-12-17,5705.7861328125,0.0,0.0,-1
2025-12-26,5529.2275390625,0.0,0.0,-1
2025-12-30,5601.8125,0.0,0.0,1
2026-01-02,5819.568359375,0.0,0.0,1
2026-01-08,5738.1552734375,0.0,0.0,-1
2026-01-14,5567.9721679688,0.0,0.0,-1
2026-01-20,5473.8076171875,0.0,0.0,-1
2026-01-23,5281.064453125,0.0,0.0,-1
2026-01-29,5473.3173828125,0.0,0.0,1
2026-02-03,5652.818359375,0.0,0.0,1
2026-02-12,5796.5,0.0,0.0,1
