event_time,close,sPos,sNeg,trigger
2024-03-04,518.1579589844,0.0,0.0,1
2024-03-13,500.4401855469,0.0,0.0,-1
2024-03-15,525.6596069336,0.0,0.0,1
2024-03-26,551.4219970703,0.0,0.0,1
2024-04-09,580.9844360352,0.0,0.0,1
2024-04-15,604.7725830078,0.0,0.0,1
2024-04-24,627.8698120117,0.0,0.0,1
2024-05-07,612.1755981445,0.0,0.0,-1
2024-05-14,638.2833251953,0.0,0.0,1
2024-05-21,684.6258544922,0.0,0.0,1
2024-05-29,696.1744384766,0.0,0.0,1
2024-06-04,640.6522216797,0.0,0.0,-1
2024-06-05,686.2545166016,0.0,0.0,1
2024-06-11,664.2430419922,0.0,0.0,-1
2024-06-19,653.8295898438,0.0,0.0,-1
2024-06-21,675.6436157227,0.0,0.0,1
2024-07-05,690.1041259766,0.0,0.0,1
2024-07-19,654.4218139648,0.0,0.0,-1
2024-07-24,643.1692504883,0.0,0.0,-1
2024-07-26,658.9622192383,0.0,0.0,1
2024-08-02,639.665222168,0.0,0.0,-1
2024-08-05,606.3519287109,0.0,0.0,-1
2024-08-12,624.7682495117,0.0,0.0,1
2024-08-19,654.0534667969,0.0,0.0,1
2024-08-21,680.6087036133,0.0,0.0,1
2024-08-26,706.6676025391,0.0,0.0,1
2024-09-02,678.9211425781,0.0,0.0,-1
2024-09-09,653.7556762695,0.0,0.0,-1
2024-09-12,671.2772216797,0.0,0.0,1
2024-09-20,689.3447265625,0.0,0.0,1
2024-09-24,712.6239624023,0.0,0.0,1
2024-09-27,741.7106933594,0.0,0.0,1
2024-10-07,725.9760131836,0.0,0.0,-1
2024-10-11,741.9091796875,0.0,0.0,1
2024-10-18,748.014465332,0.0,0.0,1
2024-10-22,715.0064697266,0.0,0.0,-1
2024-10-24,685.6716308594,0.0,0.0,-1
2024-11-05,692.4717407227,0.0,0.0,1
2024-11-07,643.3817138672,0.0,0.0,-1
2024-11-13,622.038269043,0.0,0.0,-1
2024-11-18,646.3102416992,0.0,0.0,1
2024-11-26,661.2506713867,0.0,0.0,1
2024-12-05,665.9661254883,0.0,0.0,1
2024-12-17,634.7947387695,0.0,0.0,-1
2024-12-27,612.9052734375,0.0,0.0,-1
2025-01-01,588.6332397461,0.0,0.0,-1
2025-01-06,569.9204711914,0.0,0.0,-1
2025-01-13,559.6458129883,0.0,0.0,-1
2025-01-14,586.5982055664,0.0,0.0,1
2025-01-17,612.5081787109,0.0,0.0,1
2025-01-27,582.6273193359,0.0,0.0,-1
2025-02-05,596.2275390625,0.0,0.0,1
2025-02-19,621.7404785156,0.0,0.0,1
2025-02-21,648.7920532227,0.0,0.0,1
2025-02-25,614.9403686523,0.0,0.0,-1
2025-03-04,636.9787597656,0.0,0.0,1
2025-03-06,676.9853515625,0.0,0.0,1
2025-03-19,693.4644775391,0.0,0.0,1
2025-03-28,677.4816894531,0.0,0.0,-1
2025-04-02,656.3864135742,0.0,0.0,-1
2025-04-04,595.5823364258,0.0,0.0,-1
2025-04-07,557.7100219727,0.0,0.0,-1
2025-04-11,595.9297485352,0.0,0.0,1
2025-04-21,617.4717407227,0.0,0.0,1
2025-05-12,647.2037353516,0.0,0.0,1
2025-05-15,656.5352783203,0.0,0.0,1
2025-05-30,628.8880615234,0.0,0.0,-1
2025-06-10,653.5571289062,0.0,0.0,1
2025-06-24,664.5267333984,0.0,0.0,1
2025-06-26,685.5723266602,0.0,0.0,1
2025-07-09,669.0435791016,0.0,0.0,-1
2025-07-22,685.0263671875,0.0,0.0,1
2025-08-01,667.5545043945,0.0,0.0,-1
2025-08-13,700.5,0.0,0.0,1
2025-08-25,715.8499755859,0.0,0.0,1
2025-09-03,742.950012207,0.0,0.0,1
2025-09-30,761.950012207,0.0,0.0,1
2025-10-20,786.3499755859,0.0,0.0,1
2025-10-24,824.450012207,0.0,0.0,1
2025-10-28,848.950012207,0.0,0.0,1
2025-11-04,831.4000244141,0.0,0.0,-1
2025-11-06,788.4000244141,0.0,0.0,-1
2025-11-13,811.950012207,0.0,0.0,1
2025-11-19,790.950012207,0.0,0.0,-1
2025-11-21,777.700012207,0.0,0.0,-1
2025-11-26,800.799987793,0.0,0.0,1
2025-12-05,823.25,0.0,0.0,1
2025-12-12,852.0999755859,0.0,0.0,1
2025-12-22,864.549987793,0.0,0.0,1
2025-12-31,886.700012207,0.0,0.0,1
2026-01-02,925.700012207,0.0,0.0,1
2026-01-08,903.950012207,0.0,0.0,-1
2026-01-13,936.299987793,0.0,0.0,1
2026-01-16,934.6500244141,0.0,0.0,-1
2026-01-23,950.299987793,0.0,0.0,1
2026-01-28,998.200012207,0.0,0.0,1
2026-01-29,1024.0500488281,0.0,0.0,1
2026-01-30,962.5999755859,0.0,0.0,-1
2026-02-02,930.5,0.0,0.0,-1
2026-02-03,955.299987793,0.0,0.0,1
2026-02-05,935.450012207,0.0,0.0,-1
2026-02-09,964.25,0.0,0.0,1
2026-02-13,909.0,0.0,0.0,-1
