event_time,close,sPos,sNeg,trigger
2024-02-16,1602.0777587891,0.0,0.0,1
2024-02-21,1558.6752929688,0.0,0.0,-1
2024-03-04,1541.3990478516,0.0,0.0,-1
2024-03-11,1506.9406738281,0.0,0.0,-1
2024-03-14,1556.5570068359,0.0,0.0,1
2024-03-18,1508.8707275391,0.0,0.0,-1
2024-03-19,1470.0815429688,0.0,0.0,-1
2024-03-22,1420.5593261719,0.0,0.0,-1
2024-04-15,1382.2410888672,0.0,0.0,-1
2024-04-16,1331.6831054688,0.0,0.0,-1
2024-05-16,1368.3070068359,0.0,0.0,1
2024-05-23,1386.2423095703,0.0,0.0,1
2024-05-30,1343.9224853516,0.0,0.0,-1
2024-06-05,1373.3564453125,0.0,0.0,1
2024-06-06,1413.833984375,0.0,0.0,1
2024-06-07,1472.7496337891,0.0,0.0,1
2024-06-11,1436.4014892578,0.0,0.0,-1
2024-06-21,1471.8853759766,0.0,0.0,1
2024-06-27,1510.9226074219,0.0,0.0,1
2024-07-02,1556.7299804688,0.0,0.0,1
2024-07-08,1595.7191162109,0.0,0.0,1
2024-07-12,1643.8310546875,0.0,0.0,1
2024-07-18,1688.2939453125,0.0,0.0,1
2024-07-19,1721.8092041016,0.0,0.0,1
2024-07-23,1764.0153808594,0.0,0.0,1
2024-07-26,1804.3489990234,0.0,0.0,1
2024-08-02,1748.9382324219,0.0,0.0,-1
2024-08-05,1682.3880615234,0.0,0.0,-1
2024-08-07,1720.5607910156,0.0,0.0,1
2024-08-08,1673.9853515625,0.0,0.0,-1
2024-08-12,1726.0827636719,0.0,0.0,1
2024-08-16,1785.1904296875,0.0,0.0,1
2024-08-27,1824.7076416016,0.0,0.0,1
2024-08-28,1862.1602783203,0.0,0.0,1
2024-09-04,1846.1708984375,0.0,0.0,-1
2024-09-09,1819.4739990234,0.0,0.0,-1
2024-09-12,1873.0599365234,0.0,0.0,1
2024-09-18,1817.0731201172,0.0,0.0,-1
2024-10-04,1842.0416259766,0.0,0.0,1
2024-10-09,1875.2686767578,0.0,0.0,1
2024-10-14,1881.1746826172,0.0,0.0,1
2024-10-16,1843.9141845703,0.0,0.0,-1
2024-10-17,1890.0096435547,0.0,0.0,1
2024-10-18,1805.0211181641,0.0,0.0,-1
2024-10-30,1750.3009033203,0.0,0.0,-1
2024-10-31,1706.7401123047,0.0,0.0,-1
2024-11-06,1771.2800292969,0.0,0.0,1
2024-11-11,1806.6337890625,0.0,0.0,1
2024-11-18,1759.3822021484,0.0,0.0,-1
2024-11-22,1847.572265625,0.0,0.0,1
2024-11-26,1868.8428955078,0.0,0.0,1
2024-11-28,1803.2829589844,0.0,0.0,-1
2024-12-03,1837.7141113281,0.0,0.0,1
2024-12-05,1879.2352294922,0.0,0.0,1
2024-12-11,1917.4056396484,0.0,0.0,1
2024-12-19,1890.2589111328,0.0,0.0,-1
2024-12-24,1854.1768798828,0.0,0.0,-1
2024-12-31,1825.9617919922,0.0,0.0,-1
2025-01-02,1901.5740966797,0.0,0.0,1
2025-01-09,1862.1898193359,0.0,0.0,-1
2025-01-10,1910.4124755859,0.0,0.0,1
2025-01-16,1873.0191650391,0.0,0.0,-1
2025-01-17,1763.2672119141,0.0,0.0,-1
2025-01-22,1803.0887451172,0.0,0.0,1
2025-01-27,1769.62890625,0.0,0.0,-1
2025-01-29,1827.1759033203,0.0,0.0,1
2025-02-04,1844.2215576172,0.0,0.0,1
2025-02-10,1826.2532958984,0.0,0.0,-1
2025-02-13,1790.2681884766,0.0,0.0,-1
2025-02-19,1758.7509765625,0.0,0.0,-1
2025-02-24,1713.3931884766,0.0,0.0,-1
2025-02-28,1639.1892089844,0.0,0.0,-1
2025-03-11,1613.8394775391,0.0,0.0,-1
2025-03-12,1545.123046875,0.0,0.0,-1
2025-03-20,1569.1131591797,0.0,0.0,1
2025-03-25,1581.6422119141,0.0,0.0,1
2025-03-28,1525.5037841797,0.0,0.0,-1
2025-04-01,1482.6226806641,0.0,0.0,-1
2025-04-03,1453.4851074219,0.0,0.0,-1
2025-04-04,1409.9243164062,0.0,0.0,-1
2025-04-07,1356.6022949219,0.0,0.0,-1
2025-04-21,1409.29296875,0.0,0.0,1
2025-04-23,1432.5059814453,0.0,0.0,1
2025-05-02,1463.5861816406,0.0,0.0,1
2025-05-12,1580.1369628906,0.0,0.0,1
2025-05-13,1523.5125732422,0.0,0.0,-1
2025-05-15,1566.6364746094,0.0,0.0,1
2025-05-19,1514.9656982422,0.0,0.0,-1
2025-05-29,1540.0239257812,0.0,0.0,1
2025-06-10,1571.935546875,0.0,0.0,1
2025-06-11,1606.5062255859,0.0,0.0,1
2025-06-17,1615.1735839844,0.0,0.0,1
2025-06-23,1560.1164550781,0.0,0.0,-1
2025-06-26,1591.6339111328,0.0,0.0,1
2025-07-04,1615.9614257812,0.0,0.0,1
2025-07-11,1570.8520507812,0.0,0.0,-1
2025-07-16,1583.6561279297,0.0,0.0,1
2025-07-22,1547.2139892578,0.0,0.0,-1
2025-07-25,1492.8461914062,0.0,0.0,-1
2025-08-01,1447.4412841797,0.0,0.0,-1
2025-08-06,1415.0373535156,0.0,0.0,-1
2025-08-20,1473.6402587891,0.0,0.0,1
2025-08-25,1508.9989013672,0.0,0.0,1
2025-08-29,1447.4412841797,0.0,0.0,-1
2025-09-04,1440.9409179688,0.0,0.0,-1
2025-09-09,1481.6181640625,0.0,0.0,1
2025-09-18,1517.3708496094,0.0,0.0,1
2025-09-22,1476.8905029297,0.0,0.0,-1
2025-09-26,1427.0534667969,0.0,0.0,-1
2025-10-06,1453.7448730469,0.0,0.0,1
2025-10-08,1472.4583740234,0.0,0.0,1
2025-10-15,1452.1690673828,0.0,0.0,-1
2025-10-23,1505.4532470703,0.0,0.0,1
2025-11-04,1467.9000244141,0.0,0.0,-1
2025-11-10,1513.5,0.0,0.0,1
2025-11-12,1551.6999511719,0.0,0.0,1
2025-11-14,1502.8000488281,0.0,0.0,-1
2025-11-19,1541.0999755859,0.0,0.0,1
2025-11-27,1566.4000244141,0.0,0.0,1
2025-12-04,1597.5999755859,0.0,0.0,1
2025-12-18,1626.8000488281,0.0,0.0,1
2025-12-22,1689.5999755859,0.0,0.0,1
2025-12-26,1656.0999755859,0.0,0.0,-1
2025-12-30,1621.5999755859,0.0,0.0,-1
2026-01-05,1606.4000244141,0.0,0.0,-1
2026-01-12,1595.9000244141,0.0,0.0,-1
2026-01-16,1689.8000488281,0.0,0.0,1
2026-01-21,1654.4000244141,0.0,0.0,-1
2026-01-30,1641.0,0.0,0.0,-1
2026-02-04,1535.8000488281,0.0,0.0,-1
2026-02-09,1497.1999511719,0.0,0.0,-1
2026-02-12,1397.3000488281,0.0,0.0,-1
