event_time,close,sPos,sNeg,trigger
2024-02-08,262.390838623,0.0,0.0,-1
2024-02-09,272.5749511719,0.0,0.0,1
2024-02-20,281.2614135742,0.0,0.0,1
2024-02-21,289.6483459473,0.0,0.0,1
2024-02-22,302.3784790039,0.0,0.0,1
2024-02-23,333.4300842285,0.0,0.0,1
2024-02-27,318.004119873,0.0,0.0,-1
2024-02-28,307.8199768066,0.0,0.0,-1
2024-03-01,317.4050598145,0.0,0.0,1
2024-03-06,325.8418884277,0.0,0.0,1
2024-03-11,355.096282959,0.0,0.0,1
2024-03-13,327.6890258789,0.0,0.0,-1
2024-03-14,337.8232116699,0.0,0.0,1
2024-03-18,352.0010986328,0.0,0.0,1
2024-03-20,336.9745483398,0.0,0.0,-1
2024-03-26,345.6110534668,0.0,0.0,1
2024-04-01,356.3942565918,0.0,0.0,1
2024-04-05,372.6189575195,0.0,0.0,1
2024-04-15,353.7483520508,0.0,0.0,-1
2024-04-18,377.8108520508,0.0,0.0,1
2024-04-19,369.5237731934,0.0,0.0,-1
2024-04-22,382.1041870117,0.0,0.0,1
2024-04-30,376.4130249023,0.0,0.0,-1
2024-05-06,369.6735534668,0.0,0.0,-1
2024-05-07,355.6953430176,0.0,0.0,-1
2024-05-09,344.8622436523,0.0,0.0,-1
2024-05-14,351.9012756348,0.0,0.0,1
2024-05-23,367.1774291992,0.0,0.0,1
2024-05-28,356.2944030762,0.0,0.0,-1
2024-05-30,347.2085876465,0.0,0.0,-1
2024-06-03,355.5455932617,0.0,0.0,1
2024-06-04,332.431640625,0.0,0.0,-1
2024-06-05,345.061920166,0.0,0.0,1
2024-06-12,360.3880310059,0.0,0.0,1
2024-06-20,364.9808654785,0.0,0.0,1
2024-06-24,354.7967529297,0.0,0.0,-1
2024-07-02,350.4535217285,0.0,0.0,-1
2024-07-16,343.7140197754,0.0,0.0,-1
2024-07-23,334.3785705566,0.0,0.0,-1
2024-08-02,325.7420654297,0.0,0.0,-1
2024-08-05,316.5563659668,0.0,0.0,-1
2024-08-07,329.2366027832,0.0,0.0,1
2024-08-14,319.7014770508,0.0,0.0,-1
2024-08-19,330.9339599609,0.0,0.0,1
2024-08-26,322.7467346191,0.0,0.0,-1
2024-09-02,344.3630065918,0.0,0.0,1
