event_time,close,sPos,sNeg,trigger
2024-02-14,312.684173584,0.0,0.0,1
2024-02-15,323.4089050293,0.0,0.0,1
2024-02-20,329.5577392578,0.0,0.0,1
2024-02-21,320.4059753418,0.0,0.0,-1
2024-02-28,317.7366943359,0.0,0.0,-1
2024-03-01,327.4604187012,0.0,0.0,1
2024-03-04,337.3271179199,0.0,0.0,1
2024-03-06,335.5159301758,0.0,0.0,-1
2024-03-12,328.6520996094,0.0,0.0,-1
2024-03-13,307.4410400391,0.0,0.0,-1
2024-03-15,301.5305175781,0.0,0.0,-1
2024-03-21,309.8243103027,0.0,0.0,1
2024-03-27,316.1161193848,0.0,0.0,1
2024-04-01,326.3641357422,0.0,0.0,1
2024-04-03,334.8485412598,0.0,0.0,1
2024-04-08,346.526550293,0.0,0.0,1
2024-04-18,334.7532348633,0.0,0.0,-1
2024-04-22,326.8884277344,0.0,0.0,-1
2024-04-24,335.2298278809,0.0,0.0,1
2024-04-25,342.4273376465,0.0,0.0,1
2024-04-29,346.0498962402,0.0,0.0,1
2024-05-02,351.8173522949,0.0,0.0,1
2024-05-06,340.1394042969,0.0,0.0,-1
2024-05-07,332.8465881348,0.0,0.0,-1
2024-05-08,338.8524169922,0.0,0.0,1
2024-05-09,329.8913574219,0.0,0.0,-1
2024-05-10,338.9000854492,0.0,0.0,1
2024-05-15,344.4769287109,0.0,0.0,1
2024-05-21,354.6296081543,0.0,0.0,1
2024-05-28,348.3378295898,0.0,0.0,-1
2024-05-31,342.2366943359,0.0,0.0,-1
2024-06-03,373.5050964355,0.0,0.0,1
2024-06-04,315.7824401855,0.0,0.0,-1
2024-06-05,325.0771484375,0.0,0.0,1
2024-06-06,333.4185791016,0.0,0.0,1
2024-06-07,343.7619628906,0.0,0.0,1
2024-06-11,350.2444458008,0.0,0.0,1
2024-06-19,345.5732116699,0.0,0.0,-1
2024-06-26,348.0041809082,0.0,0.0,1
2024-06-27,359.5391540527,0.0,0.0,1
2024-07-01,352.4847412109,0.0,0.0,-1
2024-07-05,362.0654296875,0.0,0.0,1
2024-07-15,367.6422424316,0.0,0.0,1
2024-07-18,360.111114502,0.0,0.0,-1
2024-07-19,347.622833252,0.0,0.0,-1
2024-07-22,356.0595703125,0.0,0.0,1
2024-07-23,364.5917053223,0.0,0.0,1
2024-07-24,374.2677612305,0.0,0.0,1
2024-07-30,387.9476623535,0.0,0.0,1
2024-07-31,396.5750732422,0.0,0.0,1
2024-08-01,403.6771850586,0.0,0.0,1
2024-08-05,393.9534912109,0.0,0.0,-1
2024-08-07,399.9935302734,0.0,0.0,1
2024-08-08,391.7304382324,0.0,0.0,-1
2024-08-12,385.1487426758,0.0,0.0,-1
2024-08-19,387.3106079102,0.0,0.0,1
2024-08-21,392.9314880371,0.0,0.0,1
2024-08-23,386.2056274414,0.0,0.0,-1
2024-08-26,398.6003417969,0.0,0.0,1
2024-08-28,393.027557373,0.0,0.0,-1
2024-08-30,399.8974914551,0.0,0.0,1
2024-09-02,393.9403076172,0.0,0.0,-1
2024-09-05,387.4547424316,0.0,0.0,-1
2024-09-06,379.3356933594,0.0,0.0,-1
2024-09-10,380.7769470215,0.0,0.0,1
2024-09-11,374.3874206543,0.0,0.0,-1
2024-09-12,388.9920654297,0.0,0.0,1
2024-09-16,394.9972229004,0.0,0.0,1
2024-09-19,407.3439331055,0.0,0.0,1
2024-09-25,419.0180053711,0.0,0.0,1
2024-09-30,425.8399047852,0.0,0.0,1
2024-10-03,418.2973632812,0.0,0.0,-1
2024-10-07,399.1768798828,0.0,0.0,-1
2024-10-10,406.1428833008,0.0,0.0,1
2024-10-17,401.3867492676,0.0,0.0,-1
2024-10-18,408.3047180176,0.0,0.0,1
2024-10-22,399.465057373,0.0,0.0,-1
2024-10-23,392.3068847656,0.0,0.0,-1
2024-10-25,383.2751159668,0.0,0.0,-1
2024-10-29,396.0061035156,0.0,0.0,1
2024-11-04,387.6170654297,0.0,0.0,-1
2024-11-06,395.3026428223,0.0,0.0,1
2024-11-08,384.4267272949,0.0,0.0,-1
2024-11-12,367.6536865234,0.0,0.0,-1
2024-11-14,360.113067627,0.0,0.0,-1
2024-11-18,354.5059814453,0.0,0.0,-1
2024-11-21,344.3067626953,0.0,0.0,-1
2024-11-22,353.2975463867,0.0,0.0,1
