event_time,close,sPos,sNeg,trigger
2024-02-14,244.3233947754,0.0,0.0,1
2024-02-15,252.0024871826,0.0,0.0,1
2024-02-23,250.9882507324,0.0,0.0,-1
2024-02-28,245.0408477783,0.0,0.0,-1
2024-03-01,249.466796875,0.0,0.0,1
2024-03-04,257.4427490234,0.0,0.0,1
2024-03-05,261.6381530762,0.0,0.0,1
2024-03-07,256.4284973145,0.0,0.0,-1
2024-03-12,249.3285064697,0.0,0.0,-1
2024-03-13,235.4513092041,0.0,0.0,-1
2024-03-14,242.7356719971,0.0,0.0,1
2024-03-15,238.5863494873,0.0,0.0,-1
2024-03-20,243.2889251709,0.0,0.0,1
2024-03-28,247.1616210938,0.0,0.0,1
2024-04-02,251.2648925781,0.0,0.0,1
2024-04-04,248.0376281738,0.0,0.0,-1
2024-04-12,244.9947662354,0.0,0.0,-1
2024-04-15,258.0420837402,0.0,0.0,1
2024-04-18,252.7863006592,0.0,0.0,-1
2024-04-24,257.5810852051,0.0,0.0,1
2024-05-03,263.8050537109,0.0,0.0,1
2024-05-07,252.2791290283,0.0,0.0,-1
2024-05-09,244.5798492432,0.0,0.0,-1
2024-05-10,249.1902160645,0.0,0.0,1
2024-05-14,251.6336975098,0.0,0.0,1
2024-05-16,256.0135192871,0.0,0.0,1
2024-05-23,261.3615722656,0.0,0.0,1
2024-05-27,256.0135192871,0.0,0.0,-1
2024-05-29,250.6654968262,0.0,0.0,-1
2024-05-30,245.9168548584,0.0,0.0,-1
2024-06-03,261.9609375,0.0,0.0,1
2024-06-04,217.8858184814,0.0,0.0,-1
2024-06-05,228.2130432129,0.0,0.0,1
2024-06-06,232.6389770508,0.0,0.0,1
2024-06-07,240.1077728271,0.0,0.0,1
2024-06-11,252.2329864502,0.0,0.0,1
2024-06-19,250.3889007568,0.0,0.0,-1
2024-06-25,246.1934509277,0.0,0.0,-1
2024-06-28,252.8323822021,0.0,0.0,1
2024-07-05,265.7414245605,0.0,0.0,1
2024-07-08,275.838104248,0.0,0.0,1
2024-07-11,281.0017089844,0.0,0.0,1
2024-07-15,297.3684997559,0.0,0.0,1
2024-07-18,305.8515625,0.0,0.0,1
2024-07-19,294.7405700684,0.0,0.0,-1
2024-07-23,289.6691894531,0.0,0.0,-1
2024-07-24,294.6483459473,0.0,0.0,1
2024-07-25,309.6320495605,0.0,0.0,1
2024-08-01,315.1183776855,0.0,0.0,1
2024-08-02,304.3762512207,0.0,0.0,-1
2024-08-05,286.0731201172,0.0,0.0,-1
2024-08-07,303.4541625977,0.0,0.0,1
2024-08-08,297.552947998,0.0,0.0,-1
2024-08-09,306.635345459,0.0,0.0,1
2024-08-12,314.7034301758,0.0,0.0,1
2024-08-13,309.7242736816,0.0,0.0,-1
2024-08-14,302.5782165527,0.0,0.0,-1
2024-08-19,309.1709899902,0.0,0.0,1
2024-08-20,304.3762512207,0.0,0.0,-1
2024-08-22,299.0743408203,0.0,0.0,-1
2024-08-26,304.6497497559,0.0,0.0,1
2024-09-02,303.1165161133,0.0,0.0,-1
2024-09-04,292.151550293,0.0,0.0,-1
2024-09-06,286.9478149414,0.0,0.0,-1
2024-09-09,277.7483825684,0.0,0.0,-1
2024-09-11,265.1107788086,0.0,0.0,-1
2024-09-12,273.2415771484,0.0,0.0,1
2024-09-19,265.0643005371,0.0,0.0,-1
2024-09-23,274.5425415039,0.0,0.0,1
2024-10-01,271.2902526855,0.0,0.0,-1
2024-10-07,268.9671020508,0.0,0.0,-1
2024-10-09,268.0843200684,0.0,0.0,-1
2024-10-14,266.2258911133,0.0,0.0,-1
2024-10-17,261.6726379395,0.0,0.0,-1
2024-10-21,257.0264587402,0.0,0.0,-1
2024-10-22,251.6368408203,0.0,0.0,-1
2024-10-25,245.3645324707,0.0,0.0,-1
