event_time,close,sPos,sNeg,trigger
2024-02-15,263.576965332,0.0,0.0,1
2024-02-16,256.9325866699,0.0,0.0,-1
2024-02-20,269.4259643555,0.0,0.0,1
2024-02-21,262.1264648438,0.0,0.0,-1
2024-02-26,269.3323669434,0.0,0.0,1
2024-02-27,273.7307739258,0.0,0.0,1
2024-02-28,261.6117248535,0.0,0.0,-1
2024-03-01,269.2388000488,0.0,0.0,1
2024-03-04,275.7427978516,0.0,0.0,1
2024-03-11,267.2267150879,0.0,0.0,-1
2024-03-13,247.3403167725,0.0,0.0,-1
2024-03-19,242.3804016113,0.0,0.0,-1
2024-03-20,247.6678314209,0.0,0.0,1
2024-03-21,256.1838989258,0.0,0.0,1
2024-03-26,252.7212982178,0.0,0.0,-1
2024-03-28,259.1318054199,0.0,0.0,1
2024-04-08,263.6705932617,0.0,0.0,1
2024-04-12,257.587677002,0.0,0.0,-1
2024-04-18,262.1264648438,0.0,0.0,1
2024-04-23,267.0395812988,0.0,0.0,1
2024-04-24,271.7655029297,0.0,0.0,1
2024-04-30,282.4808044434,0.0,0.0,1
2024-05-02,293.4768066406,0.0,0.0,1
2024-05-06,287.1599731445,0.0,0.0,-1
2024-05-07,276.3042907715,0.0,0.0,-1
2024-05-08,282.6211547852,0.0,0.0,1
2024-05-09,277.1465759277,0.0,0.0,-1
2024-05-10,284.2588806152,0.0,0.0,1
2024-05-14,289.4059448242,0.0,0.0,1
2024-05-15,294.6466064453,0.0,0.0,1
2024-05-21,304.7535705566,0.0,0.0,1
2024-05-23,299.3725585938,0.0,0.0,-1
2024-05-28,292.7281188965,0.0,0.0,-1
2024-05-29,297.3137512207,0.0,0.0,1
2024-05-30,287.0195922852,0.0,0.0,-1
2024-06-03,315.9835510254,0.0,0.0,1
2024-06-04,276.9594116211,0.0,0.0,-1
2024-06-07,289.4995422363,0.0,0.0,1
2024-06-10,295.5356140137,0.0,0.0,1
2024-06-12,303.8177185059,0.0,0.0,1
2024-06-18,310.5089111328,0.0,0.0,1
2024-06-20,303.7241516113,0.0,0.0,-1
2024-06-24,311.5851745605,0.0,0.0,1
2024-06-25,306.3912963867,0.0,0.0,-1
2024-06-27,310.2749938965,0.0,0.0,1
2024-07-03,313.6439819336,0.0,0.0,1
2024-07-09,319.2590332031,0.0,0.0,1
2024-07-10,323.844543457,0.0,0.0,1
2024-07-18,319.3525695801,0.0,0.0,-1
2024-07-19,310.8833007812,0.0,0.0,-1
2024-07-22,316.8726196289,0.0,0.0,1
2024-07-25,317.6680908203,0.0,0.0,1
2024-07-26,322.1133117676,0.0,0.0,1
2024-07-30,327.3539123535,0.0,0.0,1
2024-08-01,337.9288024902,0.0,0.0,1
2024-08-05,320.8030700684,0.0,0.0,-1
2024-08-07,329.459564209,0.0,0.0,1
2024-08-08,320.6627502441,0.0,0.0,-1
2024-08-12,319.2590332031,0.0,0.0,-1
2024-08-14,312.0998840332,0.0,0.0,-1
2024-08-16,319.5072631836,0.0,0.0,1
2024-08-22,315.166595459,0.0,0.0,-1
2024-08-29,314.5060424805,0.0,0.0,-1
2024-09-05,312.571685791,0.0,0.0,-1
2024-09-10,315.3081359863,0.0,0.0,1
2024-09-12,319.1297912598,0.0,0.0,1
2024-09-20,321.6303405762,0.0,0.0,1
2024-09-24,330.3115539551,0.0,0.0,1
2024-09-25,343.239074707,0.0,0.0,1
2024-09-27,334.2747802734,0.0,0.0,-1
2024-10-03,324.7442626953,0.0,0.0,-1
2024-10-04,319.7431335449,0.0,0.0,-1
2024-10-07,310.4013977051,0.0,0.0,-1
2024-10-10,315.496887207,0.0,0.0,1
2024-10-16,308.7500305176,0.0,0.0,-1
2024-10-18,313.3265991211,0.0,0.0,1
