event_time,close,sPos,sNeg,trigger
2024-02-15,474.3180236816,0.0,0.0,1
2024-03-13,451.7073974609,0.0,0.0,-1
2024-04-01,473.1797180176,0.0,0.0,1
2024-04-15,469.852355957,0.0,0.0,-1
2024-04-30,496.5200805664,0.0,0.0,1
2024-05-09,459.3934326172,0.0,0.0,-1
2024-06-03,488.2405090332,0.0,0.0,1
2024-06-04,439.8961486816,0.0,0.0,-1
2024-06-06,481.5565490723,0.0,0.0,1
2024-06-13,522.3218994141,0.0,0.0,1
2024-06-18,550.624206543,0.0,0.0,1
2024-06-25,581.7770385742,0.0,0.0,1
2024-07-02,549.6804199219,0.0,0.0,-1
2024-07-15,560.8496704102,0.0,0.0,1
2024-07-24,532.9227905273,0.0,0.0,-1
2024-07-26,572.1939086914,0.0,0.0,1
2024-08-06,554.9401245117,0.0,0.0,-1
2024-08-16,583.2465209961,0.0,0.0,1
2024-08-20,618.1356811523,0.0,0.0,1
2024-09-03,639.9964599609,0.0,0.0,1
2024-09-12,665.2610473633,0.0,0.0,1
2024-09-18,699.2894287109,0.0,0.0,1
2024-10-03,666.9727172852,0.0,0.0,-1
2024-10-17,637.4533081055,0.0,0.0,-1
2024-10-23,625.5497436523,0.0,0.0,-1
2024-10-25,604.9899291992,0.0,0.0,-1
2024-10-28,637.5902709961,0.0,0.0,1
2024-11-07,604.7635498047,0.0,0.0,-1
2024-11-13,562.1564331055,0.0,0.0,-1
2024-11-25,580.6627807617,0.0,0.0,1
2024-12-02,609.5009765625,0.0,0.0,1
2024-12-11,639.8460083008,0.0,0.0,1
2024-12-17,586.3949584961,0.0,0.0,-1
2025-01-02,602.7740478516,0.0,0.0,1
2025-01-08,571.0008544922,0.0,0.0,-1
2025-01-10,523.9714355469,0.0,0.0,-1
2025-01-20,508.90234375,0.0,0.0,-1
2025-01-29,545.1470336914,0.0,0.0,1
2025-02-04,570.6966552734,0.0,0.0,1
2025-02-11,532.8975219727,0.0,0.0,-1
2025-02-20,574.7536010742,0.0,0.0,1
2025-02-27,600.4312133789,0.0,0.0,1
2025-03-06,637.587097168,0.0,0.0,1
2025-03-19,660.9393920898,0.0,0.0,1
2025-04-01,630.7595214844,0.0,0.0,-1
2025-04-07,607.5556640625,0.0,0.0,-1
2025-04-15,664.9468994141,0.0,0.0,1
2025-04-21,695.6215209961,0.0,0.0,1
2025-04-25,648.3232421875,0.0,0.0,-1
2025-04-28,615.4716796875,0.0,0.0,-1
2025-05-07,629.967956543,0.0,0.0,1
2025-05-09,595.1373291016,0.0,0.0,-1
2025-05-12,639.1703491211,0.0,0.0,1
2025-05-15,667.7175292969,0.0,0.0,1
2025-05-22,642.9304199219,0.0,0.0,-1
2025-06-06,681.0263671875,0.0,0.0,1
2025-06-12,661.0383300781,0.0,0.0,-1
2025-06-26,695.8194580078,0.0,0.0,1
2025-07-02,669.7954711914,0.0,0.0,-1
2025-07-18,641.5903320312,0.0,0.0,-1
2025-07-25,612.119934082,0.0,0.0,-1
2025-08-08,605.9575195312,0.0,0.0,-1
2025-08-26,591.0980224609,0.0,0.0,-1
2025-09-10,601.1368408203,0.0,0.0,1
2025-09-12,629.0169677734,0.0,0.0,1
2025-10-01,644.7709960938,0.0,0.0,1
2025-10-14,670.3649902344,0.0,0.0,1
2025-10-23,705.3518066406,0.0,0.0,1
2025-10-29,733.977355957,0.0,0.0,1
2025-11-03,791.6260986328,0.0,0.0,1
2025-11-07,816.3499755859,0.0,0.0,1
2025-11-25,838.25,0.0,0.0,1
2025-11-27,867.6500244141,0.0,0.0,1
2025-12-03,828.0999755859,0.0,0.0,-1
2025-12-17,864.200012207,0.0,0.0,1
2025-12-19,901.700012207,0.0,0.0,1
2025-12-22,934.8499755859,0.0,0.0,1
2025-12-24,973.700012207,0.0,0.0,1
2025-12-31,996.200012207,0.0,0.0,1
2026-01-09,975.4000244141,0.0,0.0,-1
2026-01-19,1010.3499755859,0.0,0.0,1
2026-01-28,1018.799987793,0.0,0.0,1
2026-02-02,962.0999755859,0.0,0.0,-1
2026-02-03,1000.4000244141,0.0,0.0,1
2026-02-09,1062.6999511719,0.0,0.0,1
2026-02-12,1082.8000488281,0.0,0.0,1
