event_time,close,sPos,sNeg,trigger
2024-02-16,1131.2092285156,0.0,0.0,1
2024-02-26,1160.4396972656,0.0,0.0,1
2024-02-29,1173.2064208984,0.0,0.0,1
2024-03-06,1202.7818603516,0.0,0.0,1
2024-03-07,1243.6943359375,0.0,0.0,1
2024-03-11,1203.3732910156,0.0,0.0,-1
2024-03-13,1162.2635498047,0.0,0.0,-1
2024-03-14,1181.3887939453,0.0,0.0,1
2024-03-18,1170.1501464844,0.0,0.0,-1
2024-03-19,1130.0262451172,0.0,0.0,-1
2024-03-20,1108.1405029297,0.0,0.0,-1
2024-03-26,1096.8033447266,0.0,0.0,-1
2024-03-27,1075.6076660156,0.0,0.0,-1
2024-04-02,1115.1400146484,0.0,0.0,1
2024-04-08,1121.2523193359,0.0,0.0,1
2024-04-10,1129.08984375,0.0,0.0,1
2024-04-15,1114.6470947266,0.0,0.0,-1
2024-04-22,1154.3767089844,0.0,0.0,1
2024-04-24,1094.4372558594,0.0,0.0,-1
2024-05-02,1075.7061767578,0.0,0.0,-1
2024-05-08,1099.2679443359,0.0,0.0,1
2024-05-09,1069.6926269531,0.0,0.0,-1
2024-05-15,1053.7711181641,0.0,0.0,-1
2024-05-16,1084.1844482422,0.0,0.0,1
2024-05-22,1104.4927978516,0.0,0.0,1
2024-05-27,1079.896484375,0.0,0.0,-1
2024-05-29,1063.4185791016,0.0,0.0,-1
2024-06-04,1079.0030517578,0.0,0.0,1
2024-06-05,1133.9954833984,0.0,0.0,1
2024-06-12,1116.3760986328,0.0,0.0,-1
2024-06-19,1097.4661865234,0.0,0.0,-1
2024-06-21,1076.9185791016,0.0,0.0,-1
2024-06-24,1093.8430175781,0.0,0.0,1
2024-07-02,1096.8706054688,0.0,0.0,1
2024-07-03,1137.9163818359,0.0,0.0,1
2024-07-11,1123.0764160156,0.0,0.0,-1
2024-07-12,1143.7730712891,0.0,0.0,1
2024-07-16,1167.5964355469,0.0,0.0,1
2024-07-23,1232.3356933594,0.0,0.0,1
2024-07-24,1207.1870117188,0.0,0.0,-1
2024-07-30,1186.1092529297,0.0,0.0,-1
2024-08-01,1199.4603271484,0.0,0.0,1
2024-08-06,1176.8776855469,0.0,0.0,-1
2024-08-08,1169.6314697266,0.0,0.0,-1
2024-08-14,1158.9605712891,0.0,0.0,-1
2024-08-16,1179.0118408203,0.0,0.0,1
2024-08-22,1196.9290771484,0.0,0.0,1
2024-08-26,1211.0743408203,0.0,0.0,1
2024-08-28,1192.3133544922,0.0,0.0,-1
2024-09-06,1165.2141113281,0.0,0.0,-1
2024-09-09,1183.2802734375,0.0,0.0,1
2024-09-12,1213.7543945312,0.0,0.0,1
2024-09-18,1192.0155029297,0.0,0.0,-1
2024-09-25,1180.8482666016,0.0,0.0,-1
2024-09-26,1204.5227050781,0.0,0.0,1
2024-10-01,1187.4493408203,0.0,0.0,-1
2024-10-03,1144.2694091797,0.0,0.0,-1
2024-10-04,1122.0838623047,0.0,0.0,-1
2024-10-07,1103.2236328125,0.0,0.0,-1
2024-10-17,1082.1298828125,0.0,0.0,-1
2024-10-21,1009.5676879883,0.0,0.0,-1
2024-10-22,990.9060058594,0.0,0.0,-1
2024-10-24,989.1192626953,0.0,0.0,-1
2024-10-25,965.8913574219,0.0,0.0,-1
2024-10-29,984.7515869141,0.0,0.0,1
2024-10-30,1015.1761474609,0.0,0.0,1
2024-10-31,995.1743164062,0.0,0.0,-1
2024-11-07,977.6045532227,0.0,0.0,-1
2024-11-11,968.7700805664,0.0,0.0,-1
2024-11-13,945.7407226562,0.0,0.0,-1
2024-11-14,918.1948852539,0.0,0.0,-1
2024-11-21,904.9927368164,0.0,0.0,-1
2024-11-22,938.2462768555,0.0,0.0,1
2024-11-26,956.4612426758,0.0,0.0,1
