event_time,close,sPos,sNeg,trigger
2024-02-20,3779.986328125,0.0,0.0,-1
2024-02-22,3832.9260253906,0.0,0.0,1
2024-02-27,3849.150390625,0.0,0.0,1
2024-03-05,3762.5905761719,0.0,0.0,-1
2024-03-07,3853.0891113281,0.0,0.0,1
2024-03-14,3945.9321289062,0.0,0.0,1
2024-03-19,3729.9545898438,0.0,0.0,-1
2024-03-26,3636.3608398438,0.0,0.0,-1
2024-04-03,3701.8200683594,0.0,0.0,1
2024-04-16,3631.953125,0.0,0.0,-1
2024-05-06,3677.2023925781,0.0,0.0,1
2024-05-15,3639.0803222656,0.0,0.0,-1
2024-05-29,3593.0297851562,0.0,0.0,-1
2024-05-31,3467.6779785156,0.0,0.0,-1
2024-06-06,3618.298828125,0.0,0.0,1
2024-06-19,3591.1877441406,0.0,0.0,-1
2024-06-27,3716.3037109375,0.0,0.0,1
2024-07-02,3794.9438476562,0.0,0.0,1
2024-07-10,3692.6882324219,0.0,0.0,-1
2024-07-12,3952.2717285156,0.0,0.0,1
2024-07-18,4076.5847167969,0.0,0.0,1
2024-07-26,4154.5073242188,0.0,0.0,1
2024-08-02,4055.2810058594,0.0,0.0,-1
2024-08-05,3934.0881347656,0.0,0.0,-1
2024-08-14,4066.8325195312,0.0,0.0,1
2024-08-16,4181.2080078125,0.0,0.0,1
2024-08-20,4282.7543945312,0.0,0.0,1
2024-08-23,4226.5131835938,0.0,0.0,-1
2024-08-30,4311.5859375,0.0,0.0,1
2024-09-06,4219.7436523438,0.0,0.0,-1
2024-09-18,4115.025390625,0.0,0.0,-1
2024-10-03,4007.6560058594,0.0,0.0,-1
2024-10-11,3928.5493164062,0.0,0.0,-1
2024-10-22,3811.234375,0.0,0.0,-1
2024-10-31,3766.5778808594,0.0,0.0,-1
2024-11-06,3929.0688476562,0.0,0.0,1
2024-11-18,3815.0310058594,0.0,0.0,-1
2024-11-22,4028.6804199219,0.0,0.0,1
2024-11-26,4131.28125,0.0,0.0,1
2024-11-28,4028.96484375,0.0,0.0,-1
2024-12-04,4132.89453125,0.0,0.0,1
2024-12-05,4236.9663085938,0.0,0.0,1
2024-12-17,4108.3120117188,0.0,0.0,-1
2024-12-20,3958.1594238281,0.0,0.0,-1
2025-01-07,3823.3833007812,0.0,0.0,-1
2025-01-10,4048.6594238281,0.0,0.0,1
2025-01-17,3986.5288085938,0.0,0.0,-1
2025-01-21,3901.0339355469,0.0,0.0,-1
2025-01-22,4017.7502441406,0.0,0.0,1
2025-01-27,3929.3547363281,0.0,0.0,-1
2025-02-11,3831.1491699219,0.0,0.0,-1
2025-02-18,3743.8168945312,0.0,0.0,-1
2025-02-19,3657.6931152344,0.0,0.0,-1
2025-02-24,3552.8181152344,0.0,0.0,-1
2025-02-28,3366.8930664062,0.0,0.0,-1
2025-03-06,3481.2897949219,0.0,0.0,1
2025-03-12,3389.076171875,0.0,0.0,-1
2025-03-24,3507.7258300781,0.0,0.0,1
2025-04-01,3432.1862792969,0.0,0.0,-1
2025-04-03,3289.46875,0.0,0.0,-1
2025-04-04,3189.1843261719,0.0,0.0,-1
2025-04-21,3210.6430664062,0.0,0.0,1
2025-04-23,3298.9897460938,0.0,0.0,1
2025-05-12,3499.4614257812,0.0,0.0,1
2025-05-13,3397.5825195312,0.0,0.0,-1
2025-05-22,3360.8518066406,0.0,0.0,-1
2025-06-02,3334.560546875,0.0,0.0,-1
2025-06-10,3376.9741210938,0.0,0.0,1
2025-06-19,3339.0393066406,0.0,0.0,-1
2025-07-11,3184.9597167969,0.0,0.0,-1
2025-07-21,3090.2868652344,0.0,0.0,-1
2025-07-28,3013.0834960938,0.0,0.0,-1
2025-08-20,3031.9682617188,0.0,0.0,1
2025-08-25,3073.0654296875,0.0,0.0,1
2025-09-05,2982.75,0.0,0.0,-1
2025-09-10,3043.1232910156,0.0,0.0,1
2025-09-22,3007.7016601562,0.0,0.0,-1
2025-09-25,2893.8044433594,0.0,0.0,-1
2025-10-06,2924.1379394531,0.0,0.0,1
2025-10-09,2995.8618164062,0.0,0.0,1
2025-10-14,2896.6423339844,0.0,0.0,-1
2025-10-23,3018.330078125,0.0,0.0,1
2025-11-04,2936.8120117188,0.0,0.0,-1
2025-11-12,3075.8837890625,0.0,0.0,1
2025-12-03,3123.2231445312,0.0,0.0,1
2025-12-18,3222.2236328125,0.0,0.0,1
2025-12-31,3148.9553222656,0.0,0.0,-1
2026-01-07,3236.7592773438,0.0,0.0,1
2026-01-08,3146.6962890625,0.0,0.0,-1
2026-01-20,3102.3000488281,0.0,0.0,-1
2026-01-28,3200.1000976562,0.0,0.0,1
2026-02-03,3225.3000488281,0.0,0.0,1
2026-02-04,2999.1000976562,0.0,0.0,-1
2026-02-11,2909.8000488281,0.0,0.0,-1
2026-02-12,2750.1000976562,0.0,0.0,-1
