event_time,close,sPos,sNeg,trigger
2024-02-14,1222.7054443359,0.0,0.0,-1
2024-02-22,1255.9942626953,0.0,0.0,1
2024-02-28,1216.0382080078,0.0,0.0,-1
2024-03-19,1184.2624511719,0.0,0.0,-1
2024-03-28,1180.3376464844,0.0,0.0,-1
2024-04-04,1209.7966308594,0.0,0.0,1
2024-04-12,1174.6635742188,0.0,0.0,-1
2024-04-16,1130.8773193359,0.0,0.0,-1
2024-04-26,1209.3237304688,0.0,0.0,1
2024-05-03,1182.5601806641,0.0,0.0,-1
2024-05-07,1222.2799072266,0.0,0.0,1
2024-05-16,1236.9382324219,0.0,0.0,1
2024-05-29,1216.6055908203,0.0,0.0,-1
2024-05-30,1173.4813232422,0.0,0.0,-1
2024-06-05,1198.1171875,0.0,0.0,1
2024-06-06,1245.9226074219,0.0,0.0,1
2024-06-07,1302.8067626953,0.0,0.0,1
2024-06-10,1267.5793457031,0.0,0.0,-1
2024-06-13,1313.5405273438,0.0,0.0,1
2024-06-25,1350.2340087891,0.0,0.0,1
2024-07-01,1392.1762695312,0.0,0.0,1
2024-07-12,1423.3375244141,0.0,0.0,1
2024-07-18,1455.7751464844,0.0,0.0,1
2024-07-24,1476.91796875,0.0,0.0,1
2024-08-02,1452.2592773438,0.0,0.0,-1
2024-08-05,1402.7974853516,0.0,0.0,-1
2024-08-09,1451.2960205078,0.0,0.0,1
2024-08-16,1527.005859375,0.0,0.0,1
2024-08-20,1568.7136230469,0.0,0.0,1
2024-08-26,1579.8389892578,0.0,0.0,1
2024-09-09,1521.1301269531,0.0,0.0,-1
2024-09-12,1582.8248291016,0.0,0.0,1
2024-09-18,1546.3666992188,0.0,0.0,-1
2024-09-24,1576.9010009766,0.0,0.0,1
2024-09-25,1543.8140869141,0.0,0.0,-1
2024-10-01,1565.6312255859,0.0,0.0,1
2024-10-09,1597.8031005859,0.0,0.0,1
2024-10-10,1560.1407470703,0.0,0.0,-1
2024-10-14,1630.2640380859,0.0,0.0,1
2024-10-17,1636.5249023438,0.0,0.0,1
2024-10-23,1672.1162109375,0.0,0.0,1
2024-10-28,1639.9443359375,0.0,0.0,-1
2024-10-31,1563.4152832031,0.0,0.0,-1
2024-11-04,1592.3287353516,0.0,0.0,1
2024-11-06,1645.9278564453,0.0,0.0,1
2024-11-07,1604.5743408203,0.0,0.0,-1
2024-11-11,1656.2297363281,0.0,0.0,1
2024-11-18,1614.0987548828,0.0,0.0,-1
2024-11-19,1651.8564453125,0.0,0.0,1
2024-11-22,1698.3121337891,0.0,0.0,1
2024-11-28,1665.1711425781,0.0,0.0,-1
