Date,Zone,Currency,Importance,Event,Actual,Forecast,Previous
07/02/2026,Japan,JPY,Medium,Cftc Jpy Speculative Net Positions,-19.2K,,-33.9K
09/02/2026,Japan,JPY,Medium,Adjusted Current Account  (Dec),,2.95T,3.14T
09/02/2026,Japan,JPY,Medium,Current Account N.S.A.  (Dec),,1.060T,3.674T
14/02/2026,Japan,JPY,Medium,Cftc Jpy Speculative Net Positions,,,-19.2K
16/02/2026,Japan,JPY,High,Gdp (Qoq)  (Q4),,0.4%,-0.6%
16/02/2026,Japan,JPY,Medium,Gdp (Yoy)  (Q4),,1.6%,-2.3%
16/02/2026,Japan,JPY,Medium,Gdp Price Index (Yoy)  (Q4),,,3.4%
16/02/2026,Japan,JPY,Medium,Industrial Production (Mom)  (Dec),,,-0.1%
18/02/2026,Japan,JPY,Medium,Exports (Yoy)  (Jan),,,5.1%
18/02/2026,Japan,JPY,Medium,Trade Balance  (Jan),,,113.5B
20/02/2026,Japan,JPY,Medium,National Core Cpi (Yoy)  (Jan),,,2.4%
20/02/2026,Japan,JPY,Medium,S&P Global Services Pmi  (Feb),,,53.7
